Setting,Seed,Modes,Major-Modes,Minor-Modes,HQS,Real-KL,Real-RKL,Real-JSD,Real-TVD,Uniform-KL,Uniform-RKL,Uniform-JSD,Uniform-TVD
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-1-g_alpha-1-epoch_step-400,101,8,8.0,0.0,0.97616,1.044751651817275,0.37860519918541,0.116590044713367,0.34305022392834295,1.044751651817275,0.37860519918541,0.116590044713367,0.34305022392834295
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-0.5-g_alpha-1-epoch_step-400,101,8,8.0,0.0,0.97852,1.482641794999402,0.48919154767408907,0.15072302745158828,0.3888755598208573,1.482641794999402,0.48919154767408907,0.15072302745158828,0.3888755598208573
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-0.5-g_alpha-1-epoch_step-400,102,8,8.0,0.0,0.95652,2.787445269897798,1.3104690985911944,0.3513359621032258,0.7380438259756879,2.787445269897798,1.3104690985911944,0.3513359621032258,0.7380438259756879
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-1-g_alpha-1.2-epoch_step-400,101,4,4.0,0.0,0.97952,3.7042473389448207,0.7435098864795844,0.2239070817739771,0.49984005118362124,3.7042473389448207,0.7435098864795844,0.2239070817739771,0.49984005118362124
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-1-g_alpha-1-epoch_step-400,102,8,8.0,0.0,0.97884,0.9083816180501885,0.2923099905998805,0.0930808549709694,0.26419545745361483,0.9083816180501885,0.2923099905998805,0.0930808549709694,0.26419545745361483
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-0.6-g_alpha-1.2-epoch_step-400,102,8,8.0,0.0,0.98736,2.8640334286660623,1.3283883086385118,0.3549981036044215,0.7394033909149071,2.8640334286660623,1.3283883086385118,0.3549981036044215,0.7394033909149071
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-0.8-g_alpha-1-epoch_step-400,101,8,8.0,0.0,0.7932,1.6633283180148128,0.5938443781534537,0.1790401404232708,0.4713691618682022,1.6633283180148128,0.5938443781534537,0.1790401404232708,0.4713691618682022
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-0.5-g_alpha-1.2-epoch_step-400,102,6,6.0,0.0,0.98416,2.4772525659476994,0.9866762010062795,0.27985660106308236,0.618042226487524,2.4772525659476994,0.9866762010062795,0.27985660106308236,0.618042226487524
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-0.7-g_alpha-1-epoch_step-400,102,4,4.0,0.0,0.95532,3.6994056874876047,0.7343096594045262,0.22232069874239324,0.49984005118362124,3.6994056874876047,0.7343096594045262,0.22232069874239324,0.49984005118362124
-major_weight-1-dataset-polar-non_saturating-d_layers-4-g_layers-4-d_alpha-0.9-g_alpha-1-epoch_step-400,102,5,5.0,0.0,0.99212,3.075374029694566,1.081178854151034,0.3007086272216724,0.6282789507357646,3.075374029694566,1.081178854151034,0.3007086272216724,0.6282789507357646
