Setting,Seed,Modes,High-Quality Samples,KL,Reverse KL,JSD,TVD
alpha-1.0_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,8,0.49004,0.03567925413661084,0.03528072220182843,0.008834310917529347,0.12488003838771594
alpha-1.0_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,8,0.6598,0.0004346262980777101,0.00043235385518622274,0.00010836416132473537,0.011956174024312226
alpha-1.0_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,1,0.02372,5.689193940838384,1.384092584546615,0.3793672251789193,0.7497600767754318
alpha-1.0_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,1,0.0056,4.281792373333489,1.264852532921618,0.3390642902095502,0.7193698016634676
alpha-1.0_dlayers-1_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-1.0_dlayers-1_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-1.0_dlayers-1_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-1.0_dlayers-1_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-1.0_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,8,0.29264,0.01923733427135952,0.01976343993373568,0.004858262770588404,0.0815339091490723
alpha-1.0_dlayers-1_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-1.0_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-1.0_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-1.0_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,1,0.0076,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-1.0_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,0,8e-05,5.697453556395448,1.4163921113566011,0.38264992764025707,0.7497600767754319
alpha-1.0_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-1.0_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-1.0_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-1.0_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-1.0_dlayers-2_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,8,0.98064,0.005272006362348561,0.0052440236902067784,0.001313817691207847,0.049744081893794
alpha-1.0_dlayers-2_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,1,0.99556,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-1.0_dlayers-3_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,8,0.74988,0.15932284020657916,0.11672776653892536,0.03276689325712656,0.1786228406909789
alpha-1.0_dlayers-3_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,8,0.70796,0.16708410580239635,0.12024276256436867,0.03393963952087515,0.18102207293666028
alpha-1.0_dlayers-2_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,8,0.98608,0.007604518261048708,0.0075344803791953935,0.0018900497074589555,0.04954414587332053
alpha-1.0_dlayers-3_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,8,0.98,0.0035285571969733438,0.003516498449197339,0.0008799895566517701,0.033189379398592435
alpha-1.0_dlayers-3_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,8,0.97176,0.002362351134457201,0.0023342308768641226,0.0005868658613727696,0.03083013435700576
alpha-1.0_dlayers-3_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,8,0.98552,0.000857982582756987,0.0008548558194374136,0.00021407492950690143,0.017194497760716562
alpha-1.0_dlayers-3_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,8,0.97376,0.002069400142560643,0.002048051564037593,0.0005144958461862342,0.025511836212412042
alpha-1.0_dlayers-3_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,8,0.96596,0.0012165274350557182,0.001217044705445534,0.0003041388124552936,0.02107325655790148
alpha-1.0_dlayers-3_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,8,0.94684,0.007267234750915005,0.00755590578624395,0.0018491700943160513,0.04578534868841969
alpha-1.0_dlayers-4_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,8,0.57772,0.07849747297132,0.06974557018812158,0.018090469774746883,0.1398352527191299
alpha-1.0_dlayers-4_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,8,0.8528,0.004306122150987154,0.004348986444005203,0.0010810363939955333,0.03734804862444017
alpha-1.0_dlayers-3_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,8,0.88396,0.2087772403486454,0.13985155641362843,0.0403984812195233,0.1948976327575176
alpha-1.0_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,2,0.83028,5.68917859657941,1.3840312444011196,0.3793610883909291,0.7497600767754318
alpha-1.0_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-1.0_dlayers-3_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,1,0.99996,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-1.0_dlayers-3_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,8,0.98052,0.005546752956062764,0.005410734961445337,0.0013680036601100894,0.041186820217530395
alpha-1.0_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-1.0_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,8,0.77516,0.0012608164206697704,0.0012529514753425648,0.0003141505768561601,0.019113883557261666
alpha-1.0_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-1.0_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,8,0.78912,0.003063396755958167,0.003050434373672757,0.0007638908471028685,0.03394913627639156
alpha-1.0_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,8,0.87272,0.0008394858284576888,0.0008451489125009155,0.00021054323349628144,0.01635476647472807
alpha-1.0_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,8,0.86332,0.0038767062830161528,0.0038527448042308225,0.0009655570439394694,0.03534868841970571
alpha-1.0_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,8,0.8998,0.0006031840347344173,0.0006045485325338277,0.0001509524246174626,0.014915227127319262
alpha-1.0_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,8,0.96588,0.0024356231014148536,0.0024116741124123684,0.0006057239554358264,0.031589891234804865
alpha-1.0_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,8,0.97692,0.0019350246556130131,0.0019442300850364145,0.00048475031010234543,0.025911708253358923
alpha-1.0_dlayers-2_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,8,0.76088,0.003191235457642931,0.0031615241600322676,0.0007936773327752271,0.03346928982725528
alpha-1.0_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,8,0.95964,0.0044368637090471535,0.004398889333755407,0.0011036235440906356,0.03834772872680742
alpha-1.0_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,8,0.97108,0.0007895148513258014,0.0007826486352262643,0.00019647885985376614,0.014355406269993598
alpha-1.0_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,1,0.99252,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
