Setting,Seed,Modes,High-Quality Samples,Reverse KL
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,11,25,0.8115,0.013374548504879973
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,10,25,0.818,0.011744117719751208
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,8,24,0.816,0.052948558749550304
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,9,24,0.7535,0.04163832727278589
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,25,0.8815,0.006854224541731495
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,23,0.684,0.018435676008257216
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,25,0.755,0.01095614543116132
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,24,0.7305,0.05701739163244344
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,6,25,0.777,0.008537096021433632
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,7,25,0.795,0.018987969208891325
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,22,0.77,0.10871057007048136
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,13,24,0.727,0.07164590888653505
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,15,25,0.8145,0.008719128813485303
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,12,25,0.8255,0.011846659072131869
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,14,25,0.8155,0.007785918127024043
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,17,25,0.812,0.011949528943222935
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,18,25,0.699,0.010584603535684193
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,16,21,0.6965,0.05373997448539403
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,19,25,0.7985,0.009800429870682312
alpha-0.8_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,20,25,0.8165,0.01150813063931246
