Setting,Seed,FID Score,Epochs,FIDs
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.005,2,2228.9073480513407,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2229.0763561837466, 2229.119990351391, 2229.378702888502, 2228.7168528673865, 2228.8635010568755, 2229.097573326884, 2228.8432832773287, 2229.248721742514, 2228.7793424534098, 2228.9073480513407]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.005,11,1572.424112986567,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1572.5706034299178, 1572.34665069647, 1572.1623622550817, 1572.3846722529665, 1573.4804904451084, 1573.0838747965477, 1575.091572371517, 1571.8808390756067, 1571.7499395681975, 1572.424112986567]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001,12,97.99869097063811,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[350.39112047771664, 150.70473562799714, 66.73336819825397, 49.34641609087612, 51.75214327462868, 75.79658154721994, 69.73148999952912, 74.17073997906323, 89.10670386721472, 97.99869097063811]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.002,2,2768.126349746607,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2770.246306800494, 2766.932396621927, 2762.0576023204358, 2776.820400000037, 2773.5386952243357, 2770.1226461690544, 2776.450054250871, 2766.9931295221477, 2772.2871441962498, 2768.126349746607]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001,4,73.32265179447586,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[362.362434443349, 142.0475873036071, 67.01412269913203, 61.26537736269904, 52.47683814410448, 55.172922411944455, 70.83624897093569, 69.72834726078077, 95.90062549508843, 73.32265179447586]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.01,10,2047.7267126857785,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2047.77515115158, 2049.3332639493215, 2047.7716931702148, 2048.2792860263776, 2048.546126857654, 2048.58495314868, 2048.1886023267284, 2048.2319723526825, 2047.9922498122503, 2047.7267126857785]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005,4,127.91502432165703,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[769.3360231856911, 192.75199841062658, 70.54024976496441, 63.98888935061234, 52.471222444341834, 42.124189013930845, 47.58353201953014, 82.98923370469424, 101.52554551254934, 127.91502432165703]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0002,5,99.28583552204873,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[420.2661710918678, 129.5385299760453, 76.4502048434615, 73.27170802186697, 75.08424533989614, 100.09892009507121, 106.28414170042765, 103.88165600860907, 103.82155653693906, 99.28583552204873]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.005,3,1833.6769749824934,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1836.3486056340273, 1834.061167409468, 1836.2031794835998, 1833.3365618402565, 1836.1398923049624, 1833.775920119607, 1833.7034897741514, 1838.3357076517696, 1838.6603955466244, 1833.6769749824934]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.002,3,2105.323827482568,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2105.4376594705923, 2105.0441153813304, 2105.663122650863, 2105.191388076401, 2106.01590876594, 2105.7815420019365, 2105.9630530432014, 2105.4215816390265, 2105.561482555317, 2105.323827482568]"
