setting,seed,train_test_split,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,time
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-1-g_alpha-1,2,0.8,100,128,False,150,10,0.0001,64,0.9,False,1.0,1.0,True,False,"[0.034550839091806514, 0.11885488647581441, 0.14371915103652516, 0.11602912142152023, 0.17150789733464955, 0.11021717670286278, 0.16599210266535044, 0.13680898321816387, 0.06947186574531096, 0.11609081934846989, 0.34264560710760117, 0.1922507403751234, 0.2188919052319842, 0.30286278381046394, 0.2545533070088845]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[389.2718983488312, 141.69046186314426, 103.45515491858805, 76.77115595331725, 76.22546492919037, 76.8603147197332, 76.80521588619786, 64.25546525675668, 62.21244271285241, 60.47331507336855, 66.47699180067912, 57.4881109425246, 60.356325008599924, 57.19028673487776, 48.73559586074339]",4355
non_saturating-n_epochs-150-epoch_step-10-lr-0.0006-d_alpha-1-g_alpha-1,2,0.8,100,128,False,150,10,0.0006,64,0.9,False,1.0,1.0,True,False,"[0.026678183613030603, 0.1105009871668312, 0.1548741362290227, 0.18273692003948666, 0.1221618953603159, 0.3706811451135242, 0.3055528134254689, 0.12121174728529122, 0.263400789733465, 0.187142152023692, 0.49459526159921025, 0.34655725567620926, 0.2868583415597236, 0.2009254689042448, 0.20624383020730502]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[853.9186227569518, 438.52984691965935, 149.52522766838456, 94.75262097684458, 89.23760398870274, 71.99311718681656, 80.7108606155457, 61.50467268203329, 67.08481274049063, 57.977851317292334, 66.08414802772586, 76.18070702400155, 82.31265959567747, 71.43007486781778, 75.94207362690167]",4381
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.6-g_alpha-1,2,0.8,100,128,False,150,10,0.0001,64,0.9,False,0.6,1.0,True,False,"[0.05095014807502468, 0.119286771964462, 0.1535538005923001, 0.19375616979269497, 0.13029368213228035, 0.2168558736426456, 0.5642769002961501, 0.3269249753208292, 0.33120681145113523, 0.21730009871668313, 0.2905725567620928, 0.15109822309970386, 0.22409921026653504, 0.2020360315893386, 0.20579960513326753]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1243.9041860078132, 254.71125485994537, 121.73066820388499, 106.66920801286017, 74.95544959362326, 80.54405460254566, 84.32805379657725, 60.44855943419816, 49.523644864689686, 58.05280242849449, 53.02947045781991, 53.11605712851042, 57.6126072341973, 55.6032664909485, 62.92492231535823]",4428
non_saturating-n_epochs-150-epoch_step-10-lr-0.0008-d_alpha-0.9-g_alpha-1,1,0.8,100,128,False,150,10,0.0008,64,0.9,False,0.9,1.0,True,False,"[0.12139684106614018, 0.021927443237907206, 0.18609328726554789, 0.1266411648568608, 0.3541954590325765, 0.2005182625863771, 0.2793311944718657, 0.3015918065153011, 0.2848716683119447, 0.17096495557749258, 0.49262092793682133, 0.4010488647581441, 0.38664856860809477, 0.3961623889437315, 0.40924234945705823]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1128.659995145345, 234.883329303192, 138.31711103639657, 87.37889083027358, 75.97294276786033, 65.47728087104474, 61.291993372248044, 57.147137082865015, 56.07258500466287, 2162.1786491381154, 2144.816617605425, 2158.186585634456, 2157.3027569760043, 2162.6009471723955, 2161.0488509088386]",4456
non_saturating-n_epochs-150-epoch_step-10-lr-0.0005-d_alpha-1-g_alpha-1,2,0.8,100,128,False,150,10,0.0005,64,0.9,False,1.0,1.0,True,False,"[0.2345384995064166, 0.057625863770977295, 0.19399062191510366, 0.14958045409674234, 0.2632527147087858, 0.3383020730503455, 0.40502221125370186, 0.4511475814412636, 0.336611549851925, 0.29204096742349456, 0.35170286278381047, 0.22899802566633762, 0.29437314906219153, 0.25745310957551826, 0.26005676209279366]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[965.7785041825191, 228.54726997728562, 113.34774325672981, 85.22490281845967, 56.33204847618981, 57.921842947552705, 66.01136678110242, 70.01503104690414, 47.203398362919415, 68.60486689965217, 70.1599812761832, 72.03090664132742, 77.06077910130398, 68.70817654545101, 73.25826018175974]",4464
non_saturating-n_epochs-150-epoch_step-10-lr-0.0009-d_alpha-0.7-g_alpha-1,1,0.8,100,128,False,150,10,0.0009,64,0.9,False,0.7,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2027.1112958941262, 2026.8773140912745, 2028.1911837701398, 2027.098453746352, 2027.089872401918, 2027.9428778645226, 2027.3820982995962, 2025.8183684222972, 2027.2629455909002, 2027.1700608606272, 2026.9724791119343, 2027.2538359416915, 2027.742151229798, 2027.6114523265678, 2027.5322886163954]",4445
non_saturating-n_epochs-150-epoch_step-10-lr-0.0006-d_alpha-0.6-g_alpha-1,2,0.8,100,128,False,150,10,0.0006,64,0.9,False,0.6,1.0,True,False,"[0.6326011846001974, 0.10710760118460019, 0.09421273445212242, 0.24234945705824285, 0.2225691016781836, 0.24922260612043434, 0.2200148075024679, 0.18761105626850938, 0.2567620927936821, 0.21475814412635735, 0.34933366238894376, 0.1691757156959526, 0.19511352418558736, 0.16200641658440276, 0.16543682132280355]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1890.5013807624623, 600.2787266858209, 374.68390255907525, 168.13278158479955, 125.2674883814417, 77.03650871347736, 93.29847841654487, 61.0169295399553, 63.32791867378933, 71.05383240393871, 70.45194674726122, 51.66644633515148, 51.92033163386736, 61.90409717873422, 63.928581160186695]",4473
non_saturating-n_epochs-150-epoch_step-10-lr-0.0008-d_alpha-1-g_alpha-1,1,0.8,100,128,False,150,10,0.0008,64,0.9,False,1.0,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1881.424288288594, 1881.4240561730846, 1881.111569809431, 1881.422195419315, 1881.4884439110097, 1881.4227676934006, 1881.4232078871594, 1881.645027523469, 1881.3987991759698, 1881.6359978749497, 1881.4688956990383, 1881.489936514725, 1881.0445645466625, 1881.3375453769575, 1881.163942853387]",4460
non_saturating-n_epochs-150-epoch_step-10-lr-0.0008-d_alpha-0.6-g_alpha-1,1,0.8,100,128,False,150,10,0.0008,64,0.9,False,0.6,1.0,True,False,"[0.214104146100691, 0.053553800592300096, 0.06933613030602172, 0.1718040473840079, 0.10645360315893386, 0.27382773938795657, 0.3439659427443238, 0.261068608094768, 0.2546767028627838, 0.2848346495557749, 0.2905231984205331, 0.3604146100691017, 0.2980009871668312, 0.30951382033563674, 0.08935093780848964]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1501.4735588657163, 810.9892907288777, 327.3624943557727, 181.17872681418453, 146.1998621167162, 96.264927475366, 72.99591900606265, 194.1775850673298, 80.63813932206654, 58.31734050679745, 57.4501617821129, 112.32887545076653, 68.04030184041471, 1731.0335193095818, 1051.2485169528131]",4489
non_saturating-n_epochs-150-epoch_step-10-lr-0.001-d_alpha-1-g_alpha-1,1,0.8,100,128,False,150,10,0.001,64,0.9,False,1.0,1.0,True,False,"[0.08730256663376111, 0.14346001974333664, 0.23035538005923, 0.19759378084896348, 0.16519002961500492, 0.2302319842053307, 0.29571816386969396, 0.3643632773938796, 0.22261846001974334, 0.1867102665350444, 0.42590078973346496, 0.36739881539980257, 0.4995310957551826, 0.49934600197433365, 0.499284304047384]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1249.4685801852372, 361.51871206375654, 140.4961442438273, 112.48501521562264, 68.12437386966394, 75.57869093411591, 59.32180170601157, 47.88582697578249, 70.8516524195511, 72.27073034171326, 56.746584364293085, 67.88794120939599, 2162.240361439299, 2160.9397690739765, 2159.768969869371]",4490
