Setting,Seed,FID Score,Epochs,FIDs
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0008-g_alpha-1-d_alpha-1,1,113.29435053945883,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[948.6235732789925, 237.1854956890702, 102.06994773592055, 89.3210593143333, 66.32705141108784, 54.3623244995581, 54.594026119057844, 65.35610226917186, 44.2472522279387, 113.29435053945883]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0009-g_alpha-1-d_alpha-0.7,1,57.164641658657956,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1209.769738369218, 493.86092742258415, 203.95502731564113, 95.38679222783469, 103.11326256406096, 67.00236163847921, 72.28045269374957, 64.57668732492868, 54.20237521058323, 57.164641658657956]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005-g_alpha-1-d_alpha-0.9,2,129.1736912529284,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[493.7484553228603, 203.97647395791182, 122.65793939761556, 61.22032812021689, 63.91058761708041, 71.45418605524117, 136.0747688323146, 142.42728302932392, 140.37374949977345, 129.1736912529284]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005-g_alpha-1-d_alpha-1,2,101.88978800453322,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[524.1667277114713, 141.2633721772637, 84.67551310332897, 58.42258090204018, 49.818713602480216, 39.88548449823861, 52.48225722102188, 58.38574587703249, 80.91996946014888, 101.88978800453322]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0006-g_alpha-1-d_alpha-1,1,1933.3698694289797,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[799.3301748285967, 204.48349769660797, 87.36974529799795, 110.63174582106149, 62.636427436322265, 54.72694187025536, 70.5233577832413, 1766.4689129910676, 1922.506931496062, 1933.3698694289797]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0006-g_alpha-1-d_alpha-1,2,47.91400856047653,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[527.0130930948098, 167.74673808280716, 73.3583432218553, 52.71471691630836, 45.0505429014039, 60.22732054030689, 74.74234526197665, 56.71087963075979, 49.658261755629155, 47.91400856047653]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0008-g_alpha-1-d_alpha-0.6,1,54.68794312048283,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[991.5278393924992, 778.0438938277589, 237.23998226796323, 134.04206174201454, 115.10139775149707, 68.71796657062885, 89.36084919790653, 53.88438416553936, 47.974803294299704, 54.68794312048283]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0008-g_alpha-1-d_alpha-1,2,66.15394821434211,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[698.7293254148444, 218.91976455910162, 108.84771482336441, 65.94550500271191, 60.725380284186826, 53.43424108300326, 47.74794169568804, 59.00860416694309, 34.24025788939025, 66.15394821434211]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0008-g_alpha-1-d_alpha-0.9,1,1851.57451919591,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1858.4061685271793, 1855.8405279908438, 1862.0717078332436, 1856.447867561802, 1856.5342207062356, 1848.8681741063176, 1875.6539973378822, 1861.8138154904364, 1865.709999772455, 1851.57451919591]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0006-g_alpha-1-d_alpha-0.6,2,60.35421848415092,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1425.1908226037094, 636.6565828147158, 229.3297244198891, 98.81887582203422, 94.76026303763206, 59.0681826226745, 53.332873955338414, 55.67360000951271, 51.29456285796107, 60.35421848415092]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.001-g_alpha-1-d_alpha-1,1,58.02632589898667,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1783.1464086989347, 689.4649607051545, 227.5219850766034, 129.14954493127664, 88.4561598043797, 62.424273650693294, 50.97849662527199, 61.98852978478442, 60.518250058875196, 58.02632589898667]"
