Setting,Seed,Modes,High-Quality Samples,KL,Reverse KL,JSD,TVD
alpha-0.5_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,8,0.85644,0.002398788586011955,0.0024146918019312957,0.0006013828231324512,0.028270953294945632
alpha-0.5_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,8,0.17032,0.008627212292329862,0.008501435972212444,0.002138330701471155,0.05586212412028152
alpha-0.5_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,9,8,0.22848,0.062319808518332916,0.06190139867238145,0.015362128534629694,0.1455934101087652
alpha-0.5_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,10,8,0.54768,0.02668176065893107,0.023974549504488955,0.006290485801332,0.08957133717210491
alpha-0.5_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,8,0.45956,0.2837006212011955,0.32556306764803133,0.07208086886666579,0.3089011516314779
alpha-0.5_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,8,8,0.19288,0.024086232757402,0.024102746265809598,0.0059917797837743154,0.08409309021113243
alpha-0.5_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,6,8,0.46652,0.02543856804245368,0.025290263173858324,0.0063114055695552475,0.09341010876519514
alpha-0.5_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,8,0.323,0.06456868417036146,0.0649683302474508,0.01600990016964681,0.15087172104926422
alpha-0.2_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,10,8,0.7654,0.002510148100465171,0.002491196018656279,0.0006248765953559168,0.027231285988483664
alpha-0.5_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,7,8,0.57712,0.1112234563232513,0.1044060576162397,0.02662814519953182,0.21809021113243762
alpha-0.2_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,9,8,0.89892,0.001133557554407181,0.0011458609736738723,0.00028486740360999044,0.02063339731285989
alpha-0.2_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,8,8,0.6816,0.24522719137652582,0.2136673152610618,0.0556726276092266,0.30614203454894434
alpha-0.2_dlayers-1_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,6,8,0.85512,0.001909788933941857,0.001924193904213313,0.00047913406348601417,0.028910748560460643
alpha-0.2_dlayers-1_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,8,8,0.83336,0.07863434613704783,0.05790887283422279,0.01624945842217205,0.10508637236084456
alpha-0.5_dlayers-1_glayers-1_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,8,0.76772,0.0020739951959179385,0.002079485414701457,0.0005190545663992063,0.028830774152271275
