Setting,Seed,Modes,Major-Modes,Minor-Modes,HQS,Real-KL,Real-RKL,Real-JSD,Real-TVD,Uniform-KL,Uniform-RKL,Uniform-JSD,Uniform-TVD
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-0.5-g_alpha-1,1,24,16,8,0.70584,0.18707984210036224,0.11678873808737511,0.03355881539688169,0.16055944055944055,0.6521970540268442,0.3664693740576442,0.10542749121425517,0.3628771228771229
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-0.5-g_alpha-0.8,1,22,16,6,0.70216,0.09738016723968994,0.07064417384869086,0.018871782423172924,0.15274878967186659,0.7615715931199343,0.3469161022015884,0.10029979433561412,0.3364235764235764
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-0.5-g_alpha-0.5,1,11,8,3,0.15876,1.9286600362509858,0.719422810947962,0.17456680686823906,0.41426880811496203,2.2146756739328994,0.6620614307215824,0.1875783371064265,0.46417582417582415
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-0.5-g_alpha-1.2,1,24,16,8,0.77268,0.06046252414845262,0.04642732649358067,0.01273971934210313,0.10310919849381388,0.5959811984211991,0.3330045307871509,0.09668807912143682,0.3406593406593406
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-0.5-g_alpha-1.5,1,23,16,7,0.75384,0.2069295099442274,0.09858836194017906,0.029580571774809328,0.15285022669638054,0.827362247009623,0.4021876738143247,0.11850144678616983,0.36739260739260743
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-0.5-g_alpha-2,1,24,16,8,0.6076,0.12967663540449106,0.07391139993296642,0.021727686627458484,0.12685468377776069,0.6190525885465729,0.3580963080260233,0.10368308386681194,0.3492507492507492
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-0.8-g_alpha-1,1,24,16,8,0.64488,0.0987073711415887,0.07813116041699583,0.021169117873115064,0.15852147852147852,0.6156618806822196,0.34787027991464564,0.09971184072233366,0.3466933066933067
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-0.8-g_alpha-0.5,1,17,14,3,0.43056,0.5826292374129944,0.1902366842078334,0.05633028171243816,0.21203104587719973,1.0867790053833921,0.4562953480123858,0.1307244652970587,0.39308691308691307
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-0.8-g_alpha-0.8,1,22,15,7,0.6098,0.7620628395778982,0.399479688967147,0.10108754476353764,0.30526704065165605,0.9942665943783322,0.6622259426479117,0.16278395913288735,0.45646353646353643
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-0.8-g_alpha-1.2,1,22,16,6,0.6576,0.1508929803579163,0.09890880757046774,0.027989157354190504,0.16028279412894797,0.7094967282171387,0.3897185359111,0.1122129401585367,0.3676723276723276
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1-g_alpha-1,1,23,16,7,0.66092,0.10030672442867974,0.0800891057118678,0.021574724963189018,0.14205794205794206,0.5136598906892101,0.3234209556115439,0.09127141367826234,0.3464935064935065
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-0.8-g_alpha-1.5,1,21,15,6,0.58528,0.14909124060437978,0.08325075129197698,0.024373949640640227,0.13501882732651965,0.7264647227123548,0.36679157963874187,0.10696807108350267,0.35152847152847155
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1-g_alpha-0.5,1,13,9,4,0.07932,2.3378123348644544,0.9690563707404011,0.2398064715607105,0.5604948897256589,1.9283484065226486,0.8245602019799412,0.2093552660435768,0.5162037962037962
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1-g_alpha-0.8,1,20,16,4,0.6472,0.1340755323854158,0.10535494609054488,0.028167395226657566,0.18744947360331976,0.7416581592821134,0.4095983377109826,0.1153952902179365,0.3810989010989011
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-0.8-g_alpha-2,1,21,16,5,0.74284,0.02584545349736745,0.017910909804870558,0.005045038896151699,0.053752401444709136,0.6576255770178269,0.3262028026877153,0.09784761603754925,0.32783216783216784
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1-g_alpha-1.5,1,21,15,6,0.69316,0.5646592143984098,0.1858098881390237,0.05599572388291372,0.2046814723737801,0.9909575857390737,0.48066811774206303,0.13759532546542116,0.4218181818181818
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1-g_alpha-2,1,22,16,6,0.70256,0.054779057567289194,0.034697977014223856,0.00964561650493478,0.08672558211019751,0.7613148651099267,0.32035506738451974,0.09623754090949979,0.314005994005994
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1-g_alpha-1.2,1,22,16,6,0.74008,0.04985198173212477,0.03612218939894997,0.010089821777036432,0.09027587796818567,0.7518568262363159,0.35895188226952934,0.10759936793215874,0.34505494505494505
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1.2-g_alpha-0.5,1,12,6,6,0.08024,2.398100731213448,1.9092991351876671,0.33122086425273034,0.6453853838469223,2.046626279625279,0.8703602216122176,0.21632102748298948,0.4919080919080919
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1.2-g_alpha-0.8,1,23,16,7,0.52036,0.0930130479878365,0.08656700072047066,0.021781927224921605,0.16333820026127716,0.37609733508362353,0.2658589215602524,0.07280464087694172,0.31060939060939063
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1.2-g_alpha-1,1,21,16,5,0.72124,0.13775475924104563,0.06930009938486961,0.021224487154332866,0.10193806193806193,0.8060877530706401,0.3901055416242455,0.11664674670509684,0.3652347652347652
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1.2-g_alpha-1.2,1,21,16,5,0.7672,0.02772598613577637,0.02317140503599535,0.00618702753584444,0.08286790132943977,0.6194817081551108,0.32575859159453924,0.09673407131631705,0.32147852147852146
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1.2-g_alpha-1.5,1,20,15,5,0.6544,0.3379117957300486,0.21204826556487277,0.057027930899198734,0.21551064320295085,0.9931104002207781,0.49135656986457565,0.13488773501571225,0.3857342657342657
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1.2-g_alpha-2,1,22,16,6,0.73092,0.05637628505054456,0.037411126050290074,0.010308690202041768,0.09706908476139248,0.7599257583835344,0.3487393948799401,0.10376438306607405,0.33894105894105897
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1.5-g_alpha-0.5,1,4,4,0,0.94052,5.23161310330638,1.8661105479633695,0.43300153611364633,0.7893982940136787,5.593204020494149,2.256844648371596,0.4901444812468623,0.8469130869130868
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1.5-g_alpha-0.8,1,18,15,3,0.69288,0.4850221930977483,0.14060976435130285,0.04290267296082653,0.16974102820256667,0.9673653941291487,0.4357440281313245,0.12719257576554094,0.39572427572427576
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1.5-g_alpha-1,1,20,16,4,0.66856,0.08185235935506978,0.05561759115705876,0.015679623743652782,0.0982279259202336,0.6869746950263924,0.34559921696674406,0.1020592853223245,0.34393606393606396
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1.5-g_alpha-1.2,1,21,16,5,0.72904,0.029147161856209972,0.02062863768191925,0.005744832793922766,0.062451394759087064,0.6471122106941091,0.3129105482997904,0.0938959062601922,0.3168831168831168
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1.5-g_alpha-1.5,1,23,16,7,0.6908,0.0348898303069183,0.031410990325378106,0.008161296850664704,0.09521555367709214,0.5228827376849214,0.3045545313391429,0.08836125564895853,0.3211188811188811
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-1.5-g_alpha-2,1,22,16,6,0.72104,0.03827646324499051,0.01661332326195193,0.004931949841410488,0.048957196649504355,0.7759282691132979,0.3258253300680711,0.09858681403374348,0.3242357642357642
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-2-g_alpha-0.5,1,0,0,0,0.0,7.117772976692282,5.11775513914621,0.6713927071162258,0.9931237992776455,6.5036879351932075,3.2082044313685767,0.6046010598822593,0.9590409590409589
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-2-g_alpha-0.8,1,18,15,3,0.64488,0.6386148814925865,0.20613123771734163,0.06329042018709305,0.23717513255974795,1.373731642230729,0.512214857184328,0.14941427063611992,0.4390409590409591
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-2-g_alpha-1,1,22,15,7,0.72272,0.5077520383852298,0.13272448636736195,0.042345819101211636,0.13987243525705065,0.990004758029263,0.41976174762256946,0.12523730767727748,0.3899300699300699
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-2-g_alpha-1.2,1,17,12,5,0.74068,1.3972137746365725,0.37795290058851017,0.11216495877750272,0.29780680857603936,1.4742817197193818,0.6512804643869299,0.17850481351948033,0.4682917082917083
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-2-g_alpha-1.5,1,22,16,6,0.7046,0.07803509473783404,0.0510775171494478,0.014089018814408445,0.115287789133943,0.7633729873540996,0.3441875302982659,0.10123370868103002,0.3427772227772228
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-2-d_alpha-2-g_alpha-2,1,22,16,6,0.71616,0.09766955683175976,0.060026682532863376,0.01702485432323544,0.10401291016675632,0.7156479814662009,0.3217608108980263,0.0943011371959638,0.3402997002997003
-major_weight-10-dataset-lattice-non_saturating-d_layers-2-g_layers-3-d_alpha-0.5-g_alpha-0.5,1,24,15,9,0.59648,0.12766139803609838,0.08395788517957525,0.02357414910109637,0.12927072927072927,0.5939230447030425,0.3433917287365524,0.0987655045418459,0.3473326673326674
