Setting,Seed,Modes,Major-Modes,Minor-Modes,HQS,Real-KL,Real-RKL,Real-JSD,Real-TVD,Uniform-KL,Uniform-RKL,Uniform-JSD,Uniform-TVD
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-1-g_alpha-1,1,23,16,7,0.78272,0.03409027130137773,0.013808957658267382,0.004173897529493481,0.03506032429109354,0.7589344450373956,0.32136475940249265,0.0974271705140008,0.32351648351648354
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-1-g_alpha-0.8,1,22,16,6,0.71316,0.21572255647450012,0.12557830535608097,0.037048418683013604,0.16678705909475142,0.973867464938059,0.44693581594942144,0.13030473036060525,0.41394605394605394
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-1-g_alpha-0.5,1,25,16,9,0.6758,0.01701733479631902,0.016306363305301472,0.004122411577300877,0.0700222854069008,0.5293564754383615,0.3008593169676682,0.08843264930553757,0.3135264735264735
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-1-g_alpha-1.2,1,25,16,9,0.71448,0.011963045807355074,0.011179881152569135,0.0028680550105574026,0.05345116422039498,0.5159152434980389,0.2970209943075199,0.08746425238124242,0.3140859140859141
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-1-g_alpha-1.5,1,24,16,8,0.73472,0.007781840837841168,0.007306973445953038,0.0018769995291240968,0.041841235687389546,0.48529085602633065,0.28652326635332853,0.08419518727206757,0.3112087912087912
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-1-g_alpha-2,1,24,16,8,0.74872,0.07067468838132235,0.055519630491062164,0.013801627416637235,0.09244294167371091,0.759068493344227,0.36132721578106614,0.1040507517269166,0.33514485514485515
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-0.8-g_alpha-1.5,1,24,16,8,0.73044,0.018779582823623884,0.016239498416135215,0.004288997574630162,0.06494428648274804,0.5468426980098862,0.30060842929384707,0.0889230201762408,0.3134465534465535
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-0.5-g_alpha-1,1,23,16,7,0.6432,0.028382163244444633,0.0254714047963075,0.006547465864134449,0.08537308845001151,0.5955893332469645,0.3236420445231345,0.09524394754866694,0.31944055944055944
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-1.2-g_alpha-1,1,23,16,7,0.73704,0.033949749563352616,0.032819536079588,0.008196284650757621,0.08214554676093139,0.608812913761085,0.33586677959976896,0.09824872855406569,0.3235164835164835
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-0.5-g_alpha-0.5,1,24,16,8,0.66752,0.09697822429100733,0.08936451017733259,0.0222695891768681,0.1258587566279874,0.7392643580440036,0.4116421346939474,0.11657215693906933,0.36527472527472526
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-0.8-g_alpha-1,1,21,16,5,0.70528,0.027678401655933448,0.01833719840689188,0.005127615068419186,0.05786213786213787,0.6510343022259785,0.30813480143192234,0.09278751241545982,0.31580419580419583
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-0.8-g_alpha-2,1,23,16,7,0.68484,0.017792655387554833,0.0146887014394762,0.003906422659691737,0.057653116114654596,0.5690037306183184,0.3060504981340731,0.09078071442171322,0.3164835164835165
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-0.5-g_alpha-1.2,1,22,16,6,0.67704,0.04133326596085555,0.0329631437633036,0.008940650603725873,0.09663874586951511,0.6503742175007203,0.3381266493070156,0.10000880213192372,0.3337462537462538
