setting,seed,train_test_split,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,time
non_saturating-n_epochs-100-epoch_step-10-lr-0.001-d_alpha-1-g_alpha-1,4,0.8,100,128,False,100,10,0.001,64,0.9,False,1.0,1.0,True,False,"[0.09302813425468905, 0.08348963474827246, 0.2863647581441264, 0.1467670286278381, 0.3219891411648569, 0.2745187561697927, 0.2371791707798618, 0.29363277393879567, 0.2170162882527147, 0.2918682132280355]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1360.4988693504379, 224.08356999648424, 136.27980809562223, 90.30764753770484, 69.00944412434956, 63.35041387397746, 58.99769630351943, 50.12377034091287, 47.85267825046367, 54.691955466562604]",2944
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-d_alpha-1-g_alpha-1,2,0.8,100,128,False,100,10,0.0005,64,0.9,False,1.0,1.0,True,False,"[0.07673988153998025, 0.1393756169792695, 0.2121051332675222, 0.1559476801579467, 0.15249259624876604, 0.18221865745310958, 0.21538746298124384, 0.3498889437314906, 0.2105503455083909, 0.19589091806515302]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[810.3400586967507, 248.07604174673475, 122.01534957177887, 76.8332751855396, 76.95700191728452, 57.11093557762388, 53.63923640692724, 55.90184909648315, 66.74546475333773, 76.1815614311929]",2909
non_saturating-n_epochs-100-epoch_step-10-lr-0.001-d_alpha-1-g_alpha-1,5,0.8,100,128,False,100,10,0.001,64,0.9,False,1.0,1.0,True,False,"[0.023013326752221126, 0.08119447186574531, 0.17817127344521225, 0.3150666337611056, 0.16003208292201382, 0.4988524185587364, 0.25761352418558736, 0.3040473840078973, 0.28812931885488646, 0.31509131293188547]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[885.332589956032, 453.9782208807969, 168.04647088598813, 108.90567455185442, 83.80678340575514, 71.74074923596982, 81.06804258303418, 73.05965121773647, 77.53840044887545, 67.8306508592284]",2934
non_saturating-n_epochs-100-epoch_step-10-lr-0.01-d_alpha-1-g_alpha-1,4,0.8,100,128,False,100,10,0.01,64,0.9,False,1.0,1.0,True,False,"[1.0, 0.1824654491609082, 0.4700765054294176, 0.6803800592300099, 0.5171273445212241, 0.48979516288252717, 0.4876233958538993, 0.47862783810463966, 0.5296520236920039, 0.5264190523198421]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1759.6572236297643, 2207.499486954949, 1371.7599599046366, 1614.747555158419, 1495.9348226206334, 1717.1067550942741, 1564.6091984475427, 1645.6184882551433, 2042.036297180744, 2247.2907939572547]",2934
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-d_alpha-0.8-g_alpha-1,4,0.8,100,128,False,100,10,0.0001,64,0.9,False,0.8,1.0,True,False,"[0.12481490621915103, 0.09154738400789733, 0.13947433366238896, 0.22919545903257652, 0.19350937808489635, 0.13361303060217178, 0.21931145113524186, 0.18347729516288253, 0.22778874629812437, 0.23825271470878578]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[489.7395874029594, 208.03901941439722, 95.21576729101412, 89.28561602375987, 76.58778175015527, 60.38273129565664, 65.39333588308364, 63.6491907471144, 59.61532977930642, 59.62138357159995]",2964
non_saturating-n_epochs-100-epoch_step-10-lr-0.01-d_alpha-0.8-g_alpha-1,5,0.8,100,128,False,100,10,0.01,64,0.9,False,0.8,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1768.7168998997547, 1769.1471677604845, 1768.5663514806904, 1768.9582178919184, 1768.6703241729233, 1768.8394394935128, 1768.722898351289, 1768.4368613198415, 1768.48393379021, 1769.0846815111995]",2964
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-d_alpha-0.8-g_alpha-1,2,0.8,100,128,False,100,10,0.0005,64,0.9,False,0.8,1.0,True,False,"[0.20765054294175717, 0.19152270483711747, 0.15821816386969398, 0.12540720631786773, 0.1778381046396841, 0.13108341559723594, 0.21388203356367225, 0.08587117472852912, 0.27883761105626853, 0.10324531095755182]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[766.6584372988227, 235.36335638123364, 119.98026499138336, 118.49415399614963, 119.73208401906186, 75.89184075886124, 63.11519298912367, 129.15978337444528, 77.55356148832618, 148.7544631901361]",2969
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-d_alpha-1-g_alpha-1,6,0.8,100,128,False,100,10,0.0005,64,0.9,False,1.0,1.0,True,False,"[0.0788746298124383, 0.059649555774925964, 0.14474333662388944, 0.18836377097729518, 0.19601431391905233, 0.22382773938795655, 0.3713968410661402, 0.2766411648568608, 0.22350691016781837, 0.29362043435340573]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[977.1991762632845, 239.0572611289699, 123.85924976534602, 91.71166655916772, 64.51389614214327, 60.71608329565697, 62.34408758431596, 58.80405790170312, 49.96922520806629, 56.14248169093912]",2936
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-d_alpha-0.9-g_alpha-1,5,0.8,100,128,False,100,10,0.0005,64,0.9,False,0.9,1.0,True,False,"[0.04007897334649556, 0.0511599210266535, 0.09334896347482724, 0.25352912142152023, 0.22733218163869695, 0.18791954590325766, 0.4713721618953603, 0.30236920039486676, 0.3689906219151037, 0.30165350444225075]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[728.1331285455308, 205.9824727198245, 133.4512464493787, 87.70985754721983, 72.66041540303036, 53.174606073233235, 56.59499829337392, 44.5179505081735, 59.54888426033813, 45.85741429961058]",2972
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-d_alpha-0.9-g_alpha-1,2,0.8,100,128,False,100,10,0.0005,64,0.9,False,0.9,1.0,True,False,"[0.13732724580454098, 0.07741855873642646, 0.13437808489634748, 0.11162388943731491, 0.26499259624876603, 0.27349457058242843, 0.24705083909180653, 0.18525419545903257, 0.2534057255676209, 0.462327245804541]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1195.6364155385068, 245.7509379156213, 128.34338833006075, 81.60604146040691, 77.5728466843841, 57.243868348056594, 62.757729140535275, 68.34102356477001, 60.52259335037252, 55.67544169907478]",2991
