setting,seed,train_test_split,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,time
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-g_alpha-1-d_alpha-1,19,0.8,100,64,False,100,10,0.0001,64,0.9,False,1.0,1.0,True,False,"[0.12517474197674072, 0.1870557092293507, 0.10142470479759674, 0.1654769340590702, 0.34343118884030815, 0.17297224948692783, 0.22502305106927217, 0.37713036495047736, 0.15064989143689955, 0.10416108979506856]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1466.6001433437687, 709.502616612499, 495.2128365461913, 475.58654623238635, 389.7952017454179, 379.08725304245013, 362.9554528486908, 930.2836850919869, 366.64664450711007, 309.1891294979275]",4714
non_saturating-n_epochs-100-epoch_step-10-lr-0.01-g_alpha-1-d_alpha-1,19,0.8,100,64,False,100,10,0.01,64,0.9,False,1.0,1.0,True,False,"[0.5781951756342762, 0.9748817703221201, 0.9768745724398441, 0.978599684720859, 0.9770679039885786, 0.9787037863240237, 0.9771868772493382, 0.9769638023854139, 0.977588412004402, 0.9801017221379495]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2249.2376806047796, 2156.466888081478, 2212.894509632931, 2192.9845501061086, 2155.2207493233564, 2158.068272270463, 2136.4388335163912, 2146.345186262578, 2144.3025319518697, 2108.7302913605745]",4714
non_saturating-n_epochs-100-epoch_step-10-lr-0.01-g_alpha-1-d_alpha-1,8,0.8,100,64,False,100,10,0.01,64,0.9,False,1.0,1.0,True,False,"[0.15994467743374677, 0.13259569911662353, 0.0007435828797477767, 0.5001338449183546, 0.37955444513845515, 0.03423455578358764, 0.5075696737158324, 0.510023497219, 0.5314089408405461, 0.5317361173076351]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1550.228639764175, 1435.5486241158553, 2035.5284833377477, 1483.9396981851144, 2014.4838328066605, 2075.5465871982587, 2395.592958978304, 2214.1954790318646, 2203.2304264551785, 2202.2364155224004]",4728
non_saturating-n_epochs-100-epoch_step-10-lr-0.01-g_alpha-1-d_alpha-1,12,0.8,100,64,False,100,10,0.01,64,0.9,False,1.0,1.0,True,False,"[0.3258975045358556, 0.23477885845156302, 0.06214865708931917, 0.37928675530174594, 0.07608340025579251, 0.049373903215252375, 0.3215103655453437, 0.4198417655631897, 0.038413491567770144, 0.16684512655780614]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1532.6946163295092, 1496.296359413263, 1323.758637074841, 1372.6964713698878, 1208.7522079206801, 1388.4715163654168, 1231.8757930037102, 1392.4678688939084, 1271.9753938016834, 1614.0297269074995]",4730
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-g_alpha-1-d_alpha-1,18,0.8,100,64,False,100,10,0.0005,64,0.9,False,1.0,1.0,True,False,"[0.14413610541030902, 0.2800779274857976, 0.1699979179679367, 0.17417685375211922, 0.18423009428630915, 0.1967222866660718, 0.434103685196752, 0.3035454031706374, 0.34462092144790457, 0.27967639273073375]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1734.804268195053, 1259.8641824591282, 887.9484901013811, 580.9020934988762, 513.9002971978475, 453.00358244719564, 408.4612865599481, 427.7961358421219, 379.4947262543419, 361.49090665775793]",4740
non_saturating-n_epochs-100-epoch_step-10-lr-0.001-g_alpha-1-d_alpha-1,10,0.8,100,64,False,100,10,0.001,64,0.9,False,1.0,1.0,True,False,"[0.14831504119449154, 0.4163171827131852, 0.19614229201986855, 0.14153356533119182, 0.17512863983819638, 0.15356473632551085, 0.18302549002111776, 0.41359566937330833, 0.20814371969899764, 0.1796347520894679]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1516.0742061211565, 995.4402839168424, 778.5988354989936, 587.4579259410559, 494.6284475257862, 429.89536407632295, 450.1667176108674, 380.65878513119696, 332.91340468659155, 343.8856107174711]",4742
non_saturating-n_epochs-100-epoch_step-10-lr-0.001-g_alpha-1-d_alpha-1,14,0.8,100,64,False,100,10,0.001,64,0.9,False,1.0,1.0,True,False,"[0.21058267154457036, 0.2258558638945897, 0.20262633473126915, 0.35262187323399063, 0.2450254305344874, 0.29744802355670563, 0.18537521192112072, 0.24902590642753042, 0.1828470301299783, 0.34255376104220575]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1804.2688331983793, 1284.158466792527, 760.7127983370897, 560.6541005149224, 541.866061507011, 541.1882717393612, 404.15400448796936, 416.4798742255855, 409.5822842291834, 345.72508546753875]",4744
non_saturating-n_epochs-100-epoch_step-10-lr-0.005-g_alpha-1-d_alpha-1,13,0.8,100,64,False,100,10,0.005,64,0.9,False,1.0,1.0,True,False,"[0.17584247940275424, 0.3890276910264418, 0.39830760536569404, 0.13848487552422592, 0.17670503554326164, 0.32607596442699505, 0.11521073138812052, 0.4538681181404479, 0.3006305582820261, 0.12365783290205526]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1693.2117673205166, 1520.4951902767302, 1471.2534671705075, 1377.5748170503705, 1618.655275818633, 1361.3005972254475, 1399.5690057546403, 1264.6085240730217, 1513.3126498226034, 1632.0347835868133]",4728
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-g_alpha-1-d_alpha-1,19,0.8,100,64,False,100,10,0.0005,64,0.9,False,1.0,1.0,True,False,"[0.10074060854822879, 0.1254573034710449, 0.2656226763035008, 0.3124089110972309, 0.31416376669343565, 0.41096338597900123, 0.3635971565390678, 0.35021266470360785, 0.22850301894649178, 0.3878677017340353]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1498.3424941329745, 887.0877997372247, 642.4681811379528, 519.4779638706043, 423.1331512824115, 440.2348284897655, 412.4827246948539, 414.48523238505663, 410.6079266079814, 385.2660709840716]",4769
non_saturating-n_epochs-100-epoch_step-10-lr-0.001-g_alpha-1-d_alpha-1,8,0.8,100,64,False,100,10,0.001,64,0.9,False,1.0,1.0,True,False,"[0.2978941732845543, 0.19798637756164303, 0.32463341364028436, 0.18079474138187443, 0.26700574045983166, 0.31657297522381844, 0.18594033490972903, 0.1684363939204664, 0.38797180333719994, 0.22543945748193095]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1645.7578577253935, 1010.1335931602569, 751.5082123657, 706.3601145913353, 539.4320267839444, 454.5612235846286, 494.967553922653, 395.18210300436385, 400.6831479350765, 382.7164190266733]",4777
