setting,seed,train_test_split,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,time
non_saturating-n_epochs-150-epoch_step-10-lr-0.0004-d_alpha-1-g_alpha-1,13,0.8,100,64,False,150,10,0.0004,64,0.9,False,1.0,1.0,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2277.5211515386122, 2280.419870543988, 2280.539916570931, 2279.1924990807947, 2279.3370828959637, 2276.3972214381242, 2280.2693374375126, 2274.8365892073953, 2281.3390725749036, 2278.887586689321, 2277.16785337646, 2280.220338220895, 2276.8894714331427, 2277.6772421810756, 2280.5706656303214]",7003
non_saturating-n_epochs-150-epoch_step-10-lr-0.0002-d_alpha-1-g_alpha-1,12,0.8,100,64,False,150,10,0.0002,64,0.9,False,1.0,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2728.3691765959015, 2727.877444682909, 2727.890305500587, 2727.184670758378, 2727.068914703962, 2728.0282521670943, 2728.6011536848187, 2727.336862264149, 2728.026712155659, 2728.4055202900727, 2727.2317472391496, 2727.9170446743587, 2727.724197940305, 2727.5860109861082, 2727.5295269721837]",7062
non_saturating-n_epochs-150-epoch_step-10-lr-0.0004-d_alpha-1-g_alpha-1,11,0.8,100,64,False,150,10,0.0004,64,0.9,False,1.0,1.0,True,False,"[0.0, 0.0, 0.0, 0.0, 0.1809732012730139, 0.25200023794652154, 0.1805419232027602, 0.2583206924243776, 0.25586686892120997, 0.34399631182891643, 0.20634424913000804, 0.2211415484369888, 0.18457214241099312, 0.23574551619523512, 0.14343713750334613]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2315.0121341998506, 2316.30627772113, 2318.529266294371, 2320.890396069177, 1655.669885580955, 945.9250520217943, 694.6090092002528, 501.25807523891353, 464.7513934537569, 441.05933395394345, 455.5771782092777, 393.0571955593698, 443.21128396599033, 394.0282469934634, 377.9744559933881]",7049
non_saturating-n_epochs-150-epoch_step-10-lr-0.0002-d_alpha-1-g_alpha-1,13,0.8,100,64,False,150,10,0.0002,64,0.9,False,1.0,1.0,True,False,"[0.051292347045001636, 0.19359923857113115, 0.08769816483745278, 0.385622081437197, 0.167558966122364, 0.4511019898277862, 0.218063115314833, 0.2793343446060498, 0.3406353172124565, 0.2825317509889652, 0.15743136730019927, 0.2716456976294578, 0.34694090003271766, 0.2077570566015288, 0.21502929716546207]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1803.7593249634658, 722.3204460923489, 502.11385235854937, 440.5438580679722, 432.531064005248, 388.97286421083663, 379.37331702557094, 380.25887218090656, 369.03672210155014, 344.0747839128994, 338.334639958078, 332.9390523050147, 371.9336988433515, 316.1215107134544, 349.14641654037723]",7066
non_saturating-n_epochs-150-epoch_step-10-lr-0.0005-d_alpha-0.5-g_alpha-1,12,0.8,100,64,False,150,10,0.0005,64,0.9,False,0.5,1.0,True,False,"[0.21757235061419947, 0.9747181820885756, 0.1554831801552601, 0.16990868802236697, 0.2731774783617382, 0.45788346569108596, 0.27530412539781685, 0.11654918057166652, 0.09711192409505963, 0.09276940007733261, 0.02114749710002677, 0.10444365128937272, 0.5150352458285, 0.1942535915053092, 0.121739389072306]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2082.023602601913, 1930.610990938811, 1642.397724932408, 1129.8850858288538, 886.4728766986668, 946.3076487954188, 1281.5082362640355, 944.4291459767303, 979.2163588667004, 978.3733139218248, 1015.5593988784017, 1143.58471005506, 1052.3578280594447, 955.3719932594531, 862.083826582947]",7073
non_saturating-n_epochs-150-epoch_step-10-lr-0.0005-d_alpha-0.6-g_alpha-1,14,0.8,100,64,False,150,10,0.0005,64,0.9,False,0.6,1.0,True,False,"[0.40758751970494633, 0.11747122334255376, 0.4000624609618988, 0.1855834151274501, 0.2120103506736861, 0.2503346122958865, 0.3558044079593111, 0.26486422176615804, 0.3770857499776925, 0.24627464977246363, 0.05225900478867374, 0.3377353439814402, 0.48340323012402964, 0.2795276761547842, 0.20799500312304808]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1412.5468597212355, 1588.4474246779996, 734.209515933816, 812.2182680536969, 869.501196824727, 602.097417858035, 516.0823565526434, 422.18559022524164, 433.6623539620864, 1354.7879174537043, 1110.022174437268, 1214.6647986326934, 997.6759906498346, 898.2685785003798, 1024.3164724087583]",7073
non_saturating-n_epochs-150-epoch_step-10-lr-0.0004-d_alpha-0.6-g_alpha-1,11,0.8,100,64,False,150,10,0.0004,64,0.9,False,0.6,1.0,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5917432557032807, 0.11180512179887571, 0.19248386425150948, 0.3345528092561197]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2311.2038146284617, 2309.8634446221504, 2309.7612262061716, 2307.6116881138073, 2304.7587273396466, 2302.779852915089, 2297.647104081439, 2296.133480320343, 2291.1746194088055, 2286.6925012539486, 2277.731858392137, 1594.7999332018821, 1485.3910618396717, 1088.9531698481603, 1143.6241181490323]",7088
non_saturating-n_epochs-150-epoch_step-10-lr-0.0002-d_alpha-0.5-g_alpha-1,14,0.8,100,64,False,150,10,0.0002,64,0.9,False,0.5,1.0,True,False,"[0.022233128104458523, 0.17410249546414444, 0.2283989173433271, 0.534457630647512, 0.2885547723149222, 0.4032152523720294, 0.4274709259094019, 0.2013027572053181, 0.25192587965854674, 0.2972844353231611, 0.16235388596412956, 0.41457719877457544, 0.4330031825347253, 0.4074536747865917, 0.269563665566164]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1854.473966327566, 1432.337697770391, 1114.7598291560287, 915.6677448411058, 765.4850014133428, 726.2337865012687, 810.7096418990805, 584.29399347873, 628.6890762389344, 512.18469834351, 438.6329787455322, 565.9017220059263, 468.9931817521647, 1291.7091923478927, 1046.0817295397474]",7112
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-1-g_alpha-1,13,0.8,100,64,False,150,10,0.0001,64,0.9,False,1.0,1.0,True,False,"[0.11494304155141132, 0.11073436245203891, 0.25390381011867585, 0.21965438267749324, 0.2550786710686773, 0.1293685494185182, 0.17688349543440113, 0.4515778828708248, 0.23596859105915946, 0.1659528271021088, 0.12435680080901818, 0.2861604354421344, 0.233113232800928, 0.25266946253829453, 0.23587936111358973]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1633.4245478702016, 605.0994050291345, 520.8014129296166, 500.4796192719891, 444.43427905426256, 399.1582301125493, 461.36219336385943, 377.0683450071051, 362.9733379721945, 439.7283609882488, 380.0770134345098, 371.7753743657129, 347.14784980818786, 354.577513891192, 431.2647339507105]",7119
non_saturating-n_epochs-150-epoch_step-10-lr-0.0005-d_alpha-0.9-g_alpha-1,14,0.8,100,64,False,150,10,0.0005,64,0.9,False,0.9,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2227.3489126832683, 2231.1044237899437, 2229.957660362249, 2227.2515575606876, 2225.535948979775, 2230.492643022825, 2233.1295241512944, 2235.086500031845, 2228.7040028958304, 2228.966553111836, 2228.5684786151583, 2229.229123843607, 2224.9422591288703, 2232.4565557997903, 2234.063593491169]",7118
