setting,seed,train_test_split,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,time
non_saturating-n_epochs-100-epoch_step-10-lr-2e-05-d_alpha-1-g_alpha-1,2,0.8,100,64,False,100,10,2e-05,64,0.9,False,1.0,1.0,True,False,"[0.09140120757859671, 0.15952827102108802, 0.3055233336307665, 0.09584783319948842, 0.17823681627554208, 0.12344962969572588, 0.1561524047470331, 0.14319919098182685, 0.13427619642485353, 0.15062014812170965]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1941.229697730621, 978.1799689043539, 687.7113606346093, 571.759250029258, 540.0775608682848, 513.3602244973422, 490.624903424203, 439.55105174381424, 433.81181861672803, 420.8938657891854]",4710
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-d_alpha-0.7-g_alpha-1,2,0.8,100,64,False,100,10,0.0005,64,0.9,False,0.7,1.0,True,False,"[0.0, 0.0, 0.0, 0.1932125754736623, 0.21205496564647094, 0.0845156301121323, 0.07981618631212635, 0.1738496772850302, 0.30695101275988224, 0.20128788554772314]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2864.1836212316794, 2866.892095101959, 2872.8811778153317, 1785.557472184989, 1569.833439270597, 1552.2268174795395, 944.2817681164433, 691.2878642662054, 527.2373258910641, 490.060027953137]",4753
non_saturating-n_epochs-100-epoch_step-10-lr-0.0002-d_alpha-0.7-g_alpha-1,2,0.8,100,64,False,100,10,0.0002,64,0.9,False,0.7,1.0,True,False,"[0.1285952232235805, 0.17756759168376907, 0.2126052169774843, 0.34610808720740016, 0.3081258737098837, 0.2721662056452812, 0.30579102346747566, 0.271571339341483, 0.19844739894708663, 0.23184914190535677]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1662.9682180961936, 776.9848433111945, 497.8668963896662, 443.8839305713095, 425.0750502549686, 385.9930812924954, 371.2296295296301, 358.1224787533208, 365.559374850061, 386.0055878305768]",4754
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-d_alpha-0.5-g_alpha-1,2,0.8,100,64,False,100,10,0.0005,64,0.9,False,0.5,1.0,True,False,"[0.912034145325838, 0.1823413937717498, 0.321064215817495, 0.1600041640641266, 0.3977573540346807, 0.5510395288658874, 0.4490645727372773, 0.27172005591743253, 0.1635733618869159, 0.16497129770084173]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1809.3215624305496, 1765.3479068161087, 1706.3685032553253, 1556.7951555927336, 1196.197185662802, 1251.3801931426756, 1133.003929231446, 890.5185456961906, 797.2753059934221, 846.7325140846724]",4773
non_saturating-n_epochs-100-epoch_step-10-lr-0.001-d_alpha-0.5-g_alpha-1,2,0.8,100,64,False,100,10,0.001,64,0.9,False,0.5,1.0,True,False,"[0.7494571844977841, 0.16510514261919634, 0.25067666042057046, 0.33071592159662117, 0.27282055857945925, 0.10590107373367835, 0.037030427411439276, 0.223744088516106, 0.47473305374617053, 0.157520597245769]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1844.8079998861178, 1869.6706027375662, 2336.2092429168215, 1289.4718328085523, 1159.6177041982255, 1096.318120444781, 1214.589316744578, 1100.4694821686944, 1539.799906525859, 1034.9537648410753]",4774
non_saturating-n_epochs-100-epoch_step-10-lr-1e-05-d_alpha-1-g_alpha-1,2,0.8,100,64,False,100,10,1e-05,64,0.9,False,1.0,1.0,True,False,"[0.1913387466166979, 0.037476577139287946, 0.07114600993426727, 0.08000951786086077, 0.18107730287617857, 0.17558966122363998, 0.1199696618185063, 0.11290562446090241, 0.13075161357484905, 0.19276642574581362]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2357.5874457858417, 1365.971876519745, 1105.1586675892818, 1038.97862175853, 809.8808945145472, 709.0939760831805, 659.4522916963679, 599.9838776563233, 566.7472633664333, 506.27173265559304]",4691
non_saturating-n_epochs-100-epoch_step-10-lr-1e-05-d_alpha-0.9-g_alpha-1,2,0.8,100,64,False,100,10,1e-05,64,0.9,False,0.9,1.0,True,False,"[0.2603878528300764, 0.06546503673299425, 0.18055679486035514, 0.21861336664584635, 0.2211415484369888, 0.1677969126438833, 0.11071949079444394, 0.2387347193718212, 0.09215966211593944, 0.11616251747419767]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1876.3416358701932, 1605.8793523045601, 1087.9290142592, 960.4466512861866, 850.7578157424286, 686.6336848118917, 673.2223655401067, 622.8059932313895, 494.63949041665296, 592.5803408514687]",4776
non_saturating-n_epochs-100-epoch_step-10-lr-0.0002-d_alpha-1-g_alpha-1,1,0.8,100,64,False,100,10,0.0002,64,0.9,False,1.0,1.0,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2348.3874491638267, 2348.157971123667, 2348.0506162671013, 2347.811649717928, 2350.4112241951134, 2347.9335942392454, 2347.2401552331153, 2348.8571923233117, 2349.5097866881306, 2350.1319241942897]",4722
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-d_alpha-0.9-g_alpha-1,2,0.8,100,64,False,100,10,0.0005,64,0.9,False,0.9,1.0,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2530.876940516504, 2530.646311459921, 2530.5374084112036, 2530.4194319375383, 2530.777352521267, 2530.429989812021, 2530.9328803773387, 2530.5563321371915, 2530.27689924268, 2530.237010091311]",4827
non_saturating-n_epochs-100-epoch_step-10-lr-0.0002-d_alpha-0.9-g_alpha-1,2,0.8,100,64,False,100,10,0.0002,64,0.9,False,0.9,1.0,True,False,"[0.16110466672615328, 0.27176467089021744, 0.19437256476606882, 0.3239790607061063, 0.3152791410130573, 0.2667529222807174, 0.20328068766544719, 0.23811010975283306, 0.3177924511466048, 0.2699354570060379]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1797.1258900675973, 774.4133397111013, 527.2942302415229, 486.9384894602599, 446.3343276453702, 409.30027858333756, 394.017690091709, 380.78020364408303, 363.5957514817337, 349.3263409564479]",4831
non_saturating-n_epochs-100-epoch_step-10-lr-5e-05-d_alpha-0.5-g_alpha-1,2,0.8,100,64,False,100,10,5e-05,64,0.9,False,0.5,1.0,True,False,"[0.4324975461764968, 0.6784004045090866, 0.2743523393117397, 0.21931233455280927, 0.3015823443681033, 0.12504089705838614, 0.2997531304839237, 0.11570149608875405, 0.19368846851670088, 0.08514023973112043]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1450.8539205969375, 1424.9792811161246, 837.872418328569, 791.9244193486352, 583.7898890445792, 996.0082050385449, 745.0190529496163, 437.28788395012543, 447.77798369042785, 451.94178683825817]",4809
non_saturating-n_epochs-100-epoch_step-10-lr-0.0002-d_alpha-0.5-g_alpha-1,1,0.8,100,64,False,100,10,0.0002,64,0.9,False,0.5,1.0,True,False,"[0.1555872817584248, 0.4385354391600488, 0.3713155468308498, 0.40202551976443296, 0.402337824573927, 0.36930787305553076, 0.49202879152910384, 0.28669581511555275, 0.15051604651854494, 0.3801344397846584]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2129.480478509827, 1562.447120285772, 902.5045418313584, 816.0514167409253, 764.1503051177638, 626.4789090982131, 500.41601798792, 540.4527980159655, 409.0717824190217, 399.73889235412935]",4859
non_saturating-n_epochs-100-epoch_step-10-lr-2e-05-d_alpha-0.5-g_alpha-1,2,0.8,100,64,False,100,10,2e-05,64,0.9,False,0.5,1.0,True,False,"[0.06176199399185033, 0.19624639362303323, 0.013994229796853157, 0.049924154546265725, 0.24828232354778262, 0.11192409505963535, 0.0014425507867106867, 0.35897207102703665, 0.0593974004342524, 0.07084857678236817]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2280.6017133291407, 1046.229687407818, 1922.4596860824404, 1778.4619578009206, 1845.6636129212163, 1538.9134245003452, 1263.5532975453368, 1142.3997599776203, 1314.1033913852, 1425.711496537961]",4780
non_saturating-n_epochs-100-epoch_step-10-lr-2e-05-d_alpha-0.9-g_alpha-1,2,0.8,100,64,False,100,10,2e-05,64,0.9,False,0.9,1.0,True,False,"[0.08497665149757593, 0.05670563040956545, 0.15216680051158502, 0.06152404747033104, 0.1648523244400821, 0.16049492876476013, 0.11037744266975998, 0.11257844799381339, 0.23329169269206745, 0.14056690758751972]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1682.2471872549386, 1014.5354408007008, 1034.300781841192, 643.0826959833057, 556.040647833313, 560.7249212159397, 552.8287140085476, 479.16356530754297, 456.03529924873624, 450.5648275852527]",4837
non_saturating-n_epochs-100-epoch_step-10-lr-0.0002-d_alpha-0.9-g_alpha-1,1,0.8,100,64,False,100,10,0.0002,64,0.9,False,0.9,1.0,True,False,"[0.2844204515035246, 0.2073257785312751, 0.13177775794890098, 0.18736801403884476, 0.26938520567502455, 0.16723178965527496, 0.16519437256476607, 0.34993010320930373, 0.23831831295916242, 0.1010380417001279]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1722.1472660985387, 774.3089958603096, 507.6343781431244, 494.84240909351, 406.1329683802596, 446.8282145721646, 358.45207941867216, 366.9681167142942, 356.0653718634537, 334.61795493490627]",4803
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-d_alpha-1-g_alpha-1,2,0.8,100,64,False,100,10,0.0001,64,0.9,False,1.0,1.0,True,False,"[0.07864132536212486, 0.14410636209511912, 0.17978346866541745, 0.19939918503316378, 0.16092620683501382, 0.2731626067041432, 0.31405966509027095, 0.21440468754647393, 0.4234407067011689, 0.35507569673715833]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1317.0585575887094, 651.7398076203208, 591.0592622658619, 443.499457387584, 396.15189691066007, 396.2716013331692, 375.67290450858513, 369.68874037274554, 365.20124982755783, 382.77566830779415]",4858
non_saturating-n_epochs-100-epoch_step-10-lr-1e-05-d_alpha-0.7-g_alpha-1,2,0.8,100,64,False,100,10,1e-05,64,0.9,False,0.7,1.0,True,False,"[0.2543350881889295, 0.13048392373813986, 0.06403735760387853, 0.15694060259956574, 0.22677790666547692, 0.15353499301032092, 0.09920882781594836, 0.10419083311025847, 0.15097706790398857, 0.12086196127420362]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2118.8190157680665, 1352.8430931711432, 1204.6479461627086, 1290.621930169284, 716.3665605886099, 625.5512237010232, 659.7409434316855, 674.2726865109198, 526.3307599430709, 464.323521439876]",4901
non_saturating-n_epochs-100-epoch_step-10-lr-5e-05-d_alpha-0.7-g_alpha-1,2,0.8,100,64,False,100,10,5e-05,64,0.9,False,0.7,1.0,True,False,"[0.043246780286130694, 0.18711519585973052, 0.1866541744742869, 0.29322447279973823, 0.2417387942060022, 0.13818744237232683, 0.22606406710091906, 0.15823443681032687, 0.16644359180274235, 0.20351863418696647]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1700.1230180511118, 767.6718170288509, 644.9001171769421, 504.13388006307605, 466.34674729652306, 439.8480185279511, 473.29880806119036, 381.61027220870574, 893.1452422842856, 372.1985308719957]",4762
