Setting,Seed,FID Score,0.0-1,0.0-3,0.0-5,0.0-10,0.1-1,0.1-3,0.1-5,0.1-10,0.2-1,0.2-3,0.2-5,0.2-10,0.3-1,0.3-3,0.3-5,0.3-10,0.4-1,0.4-3,0.4-5,0.4-10,0.5-1,0.5-3,0.5-5,0.5-10,0.6-1,0.6-3,0.6-5,0.6-10,0.7-1,0.7-3,0.7-5,0.7-10,0.8-1,0.8-3,0.8-5,0.8-10,0.9-1,0.9-3,0.9-5,0.9-10,Epochs,FIDs
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.8-d_alpha-1-beta1-0.5-g_width-64-d_width-64,1,165.46913805948952,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[661.582398220828, 395.97352146256344, 340.3318955255056, 341.04657161100886, 202.5001152332618, 195.51554936503499, 205.04972809205174, 184.83164440588803, 172.16538705122593, 161.72249227840575, 165.94711397640617, 181.16234372815825, 162.1264825308865, 160.3539369283733, 163.82979534089964, 167.39222804391557, 159.34923693575774, 156.45937856388082, 164.56321167317037, 165.46913805948952]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.8-d_alpha-1.5-beta1-0.5-g_width-64-d_width-64,1,158.4279842972012,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[704.8450838575272, 458.20082487485865, 475.43927400562166, 277.0931177177358, 267.8415720975636, 204.64026161931451, 216.9330164882324, 192.79477326911683, 172.7784522308923, 166.3722645344958, 148.04374745037967, 164.1826089233798, 161.14394814005755, 154.50451298391727, 150.19200637693348, 154.35744260731826, 157.18993620169977, 161.37635818543504, 160.22368440050423, 158.4279842972012]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.8-d_alpha-0.9-beta1-0.5-g_width-64-d_width-64,1,171.8497784859228,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[593.2800496037189, 568.5294614034742, 461.3962922309652, 256.0653602321404, 241.67701708803088, 240.68040475571752, 201.53999483824418, 171.8218489023227, 169.83109984582347, 163.3986486207059, 163.7632873710645, 186.09582549050447, 167.5306395073162, 160.8062442885348, 164.40646907516248, 167.031026683047, 169.03838520717068, 166.48433124045596, 173.6298900029526, 171.8497784859228]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.8-d_alpha-0.8-beta1-0.5-g_width-64-d_width-64,1,166.03351208587378,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[809.4609927311569, 523.957901375934, 287.5974344287556, 303.76535292244307, 227.09966542739176, 202.100497546631, 151.74760790248888, 179.76136313078223, 175.05520457340276, 164.19044170442135, 156.81364946334406, 166.22762045919308, 166.993984452605, 165.08357651814867, 152.33380810909875, 163.10966984361494, 157.3044804421438, 162.67997203291634, 171.13501285326856, 166.03351208587378]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.9-d_alpha-0.8-beta1-0.5-g_width-64-d_width-64,1,167.1586440467886,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[740.2176691821101, 498.6760080736997, 261.95204230409263, 289.6812669832634, 214.496123258868, 190.45833025994466, 190.71485499390792, 174.9561043600106, 168.50669284889887, 165.52823166817825, 159.09922557322648, 169.8362437421656, 169.2649750273995, 164.9544387460628, 168.0893300595444, 169.80355771108452, 164.39536162481568, 164.24262706537047, 167.58413649981162, 167.1586440467886]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.9-d_alpha-0.9-beta1-0.5-g_width-64-d_width-64,1,163.55550238989235,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[573.5883362243246, 398.08441147424355, 302.9820245589374, 209.63644784798862, 171.07155303845593, 158.67379903542883, 164.62095570469046, 172.75309454684384, 160.74317034466821, 166.68029818857985, 157.02688871941427, 178.43905146436714, 159.8162388707326, 162.18933138460852, 164.22582097104805, 168.8965145600173, 162.6956776549266, 160.92699493392638, 166.51928272452324, 163.55550238989235]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.9-d_alpha-1-beta1-0.5-g_width-64-d_width-64,1,162.68728108371488,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[518.8021691223919, 369.5546962647436, 322.21300595897355, 222.48325747336685, 165.98652505518294, 176.67018297738014, 163.30122584486662, 174.51555082134473, 165.53837178964477, 157.33721255999808, 161.19142757661598, 175.61034169762434, 157.9951099538846, 167.14579404134838, 157.7647711809111, 162.9346799036939, 159.58396893281156, 160.75543726808405, 169.61833537880102, 162.68728108371488]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.9-d_alpha-1.5-beta1-0.5-g_width-64-d_width-64,1,164.4203356866485,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[539.0412724022237, 503.8429485006063, 305.8473448194309, 311.59277057520967, 209.28585755958443, 186.34468522693987, 196.68028688235108, 160.22617048996472, 168.13559325064853, 160.20282673199972, 148.56227697713234, 155.78116780863684, 151.97997509002926, 151.1532660570399, 155.81642026511872, 155.4886993301336, 152.7136332190994, 157.01490177687265, 155.89038794590033, 164.4203356866485]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1-d_alpha-1-beta1-0.5-g_width-64-d_width-64,1,168.1244740167367,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[567.535194640391, 410.75010064402886, 267.2786105296923, 212.31469178125462, 193.54417466286714, 165.58830388450542, 174.35266256247655, 152.92068316541918, 164.87563680110566, 159.63342574581407, 168.63414893285017, 177.69148749020223, 165.53925459469679, 156.85874686003717, 157.36825476159993, 165.31078762369862, 158.51355026797228, 167.51247611360895, 168.61943369792698, 168.1244740167367]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1-d_alpha-0.9-beta1-0.5-g_width-64-d_width-64,1,166.06681667586554,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[684.6618223753585, 408.4480821311631, 352.59601234276306, 285.07442809220856, 202.15012657882926, 175.1287762754264, 183.35414993687846, 173.190754262057, 156.25780823506398, 153.2163747891093, 153.68850762928787, 171.85706180924035, 155.95356337535304, 165.7898619019236, 158.94904470057236, 159.70450099638992, 160.94756867431624, 162.00944247800498, 169.31188370902646, 166.06681667586554]"
