setting,seed,train_size,test_size,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,"modes-0,1","modes-0,3","modes-0.2,1","modes-0.2,3","modes-0.5,1","modes-0.5,3","modes-0.9,1","modes-0.9,3",time
non_saturating-n_epochs-200-epoch_step-10-lr-0.0001-model_width-1-g_alpha-1-ls_gan-d_alpha-1,1,100000,25000,100,64,False,200,10,0.0001,1,0.9,False,1.0,1.0,True,True,"[0.45088, 0.48826, 0.47868, 0.48526, 0.49972, 0.49962, 0.49672, 0.4993, 0.49896, 0.5001, 0.50006, 0.5, 0.499, 0.49972, 0.49816, 0.49986, 0.5, 0.50004, 0.50004, 0.50014]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[754.0194123427358, 490.04169721634605, 416.25299865447084, 403.2300692226303, 303.09603805103256, 348.9999359969147, 329.1606882025004, 343.5376997365854, 336.3396261674818, 412.7692814560795, 403.4222838871858, 390.64833222697814, 401.5054644736979, 362.9112286121956, 413.306817190517, 398.111800419499, 389.5139445389923, 430.3797159931803, 353.85248513580075, 450.3283339156483]","[789, 910, 799, 868, 902, 835, 854, 812, 676, 716, 700, 690, 784, 784, 745, 739, 748, 715, 698, 735]","[597, 746, 622, 720, 740, 669, 700, 639, 496, 548, 559, 539, 620, 593, 581, 575, 577, 530, 511, 559]","[506, 810, 687, 787, 820, 761, 794, 720, 577, 638, 594, 608, 689, 669, 642, 636, 634, 602, 584, 624]","[332, 601, 485, 613, 626, 559, 610, 538, 428, 465, 449, 458, 509, 479, 477, 480, 466, 442, 423, 457]","[181, 532, 402, 533, 504, 479, 519, 455, 370, 386, 345, 371, 426, 390, 370, 367, 374, 345, 343, 366]","[77, 273, 212, 316, 286, 293, 315, 280, 252, 269, 210, 251, 258, 229, 232, 242, 216, 221, 205, 225]","[3, 65, 50, 80, 77, 93, 103, 81, 74, 70, 36, 65, 62, 51, 58, 68, 52, 66, 55, 55]","[0, 16, 10, 18, 18, 21, 21, 15, 34, 19, 9, 18, 15, 15, 19, 19, 15, 19, 15, 25]",2384
non_saturating-n_epochs-200-epoch_step-10-lr-0.001-model_width-1-g_alpha-1-ls_gan-d_alpha-1,1,100000,25000,100,64,False,200,10,0.001,1,0.9,False,1.0,1.0,True,True,"[0.4854, 0.50002, 0.49876, 0.50004, 0.49976, 0.50024, 0.47086, 0.49996, 0.49772, 0.50026, 0.50034, 0.50048, 0.50016, 0.49986, 0.50012, 0.49972, 0.4996, 0.50004, 0.50006, 0.50008]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[551.6324052184876, 532.9176907204425, 370.27499865689106, 515.2102088688832, 375.49092858341476, 567.0314980222962, 494.5591341551926, 539.3380791852877, 415.5843788075633, 481.00611255033755, 464.62889529460426, 519.7802420058209, 545.1008785486672, 429.1625677118768, 674.9014523108708, 380.3624541491623, 511.4082534291083, 551.7643202200491, 519.3381989105667, 369.09940333085353]","[822, 931, 928, 839, 880, 761, 753, 767, 685, 641, 662, 618, 615, 585, 519, 602, 595, 572, 632, 649]","[632, 797, 814, 637, 707, 553, 573, 569, 482, 447, 448, 427, 419, 399, 330, 410, 393, 377, 456, 467]","[647, 860, 871, 751, 772, 624, 622, 640, 518, 467, 489, 443, 438, 413, 371, 417, 436, 424, 472, 496]","[441, 652, 721, 529, 559, 413, 422, 442, 342, 321, 313, 267, 273, 246, 213, 256, 255, 272, 313, 317]","[312, 529, 629, 405, 422, 297, 310, 323, 207, 209, 208, 162, 160, 154, 143, 152, 163, 168, 199, 213]","[175, 293, 390, 230, 231, 160, 169, 178, 107, 107, 114, 86, 71, 78, 78, 77, 74, 80, 105, 110]","[29, 78, 139, 76, 56, 36, 22, 41, 12, 13, 18, 8, 3, 7, 15, 7, 10, 5, 5, 13]","[4, 16, 28, 18, 12, 8, 3, 10, 5, 4, 7, 1, 0, 2, 3, 0, 2, 1, 0, 4]",2403
non_saturating-n_epochs-200-epoch_step-10-lr-0.0005-model_width-1-g_alpha-1-ls_gan-d_alpha-0.9,2,100000,25000,100,64,False,200,10,0.0005,1,0.9,False,0.9,1.0,True,True,"[0.4464, 0.50252, 0.50002, 0.49898, 0.49974, 0.49934, 0.49918, 0.49994, 0.49902, 0.3624, 0.49996, 0.49998, 0.4995, 0.4997, 0.49954, 0.4996, 0.4994, 0.4999, 0.49972, 0.4994]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[621.4058627666982, 432.2807307668286, 393.48490780593534, 251.34584914990717, 310.08006593250343, 242.15844188085612, 280.7637664661122, 292.498669250715, 261.89630553736276, 338.3245976260981, 342.2580977129654, 225.95062646037582, 343.0762673767042, 241.5422949815969, 231.45411881735743, 254.9892431211665, 250.80640340032494, 216.74022869882538, 232.67588611617623, 274.8188060679786]","[939, 950, 805, 885, 829, 772, 747, 620, 645, 744, 754, 786, 710, 706, 747, 791, 765, 759, 716, 733]","[790, 800, 620, 721, 646, 599, 575, 460, 436, 554, 567, 587, 514, 529, 546, 599, 573, 583, 511, 556]","[824, 857, 690, 791, 733, 661, 629, 496, 503, 593, 627, 648, 572, 594, 600, 639, 632, 666, 589, 629]","[591, 631, 484, 609, 528, 472, 449, 339, 315, 401, 447, 436, 384, 425, 406, 420, 455, 477, 428, 445]","[453, 511, 376, 520, 423, 374, 346, 251, 233, 281, 328, 291, 253, 321, 274, 280, 323, 376, 307, 336]","[226, 264, 205, 297, 226, 199, 187, 137, 133, 144, 171, 158, 143, 170, 151, 140, 170, 217, 184, 182]","[43, 48, 63, 89, 61, 44, 43, 22, 25, 21, 49, 25, 29, 42, 17, 16, 24, 52, 31, 36]","[12, 10, 11, 26, 10, 11, 10, 5, 15, 4, 13, 9, 3, 13, 6, 3, 8, 13, 12, 7]",2405
non_saturating-n_epochs-200-epoch_step-10-lr-0.001-model_width-1-g_alpha-1-ls_gan-d_alpha-0.9,1,100000,25000,100,64,False,200,10,0.001,1,0.9,False,0.9,1.0,True,True,"[0.4854, 0.50002, 0.49876, 0.50004, 0.49976, 0.50024, 0.47086, 0.49996, 0.49772, 0.50026, 0.50034, 0.50048, 0.50016, 0.49986, 0.50012, 0.49972, 0.4996, 0.50004, 0.50006, 0.50008]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[551.6324052184876, 532.9176907204425, 370.27499865689106, 515.2102088688832, 375.49092858341476, 567.0314980222962, 494.5591341551926, 539.3380791852877, 415.5843788075633, 481.00611255033755, 464.62889529460426, 519.7802420058209, 545.1008785486672, 429.1625677118768, 674.9014523108708, 380.3624541491623, 511.4082534291083, 551.7643202200491, 519.3381989105667, 369.09940333085353]","[822, 931, 928, 839, 880, 761, 753, 767, 685, 641, 662, 618, 615, 585, 519, 602, 595, 572, 632, 649]","[632, 797, 814, 637, 707, 553, 573, 569, 482, 447, 448, 427, 419, 399, 330, 410, 393, 377, 456, 467]","[647, 860, 871, 751, 772, 624, 622, 640, 518, 467, 489, 443, 438, 413, 371, 417, 436, 424, 472, 496]","[441, 652, 721, 529, 559, 413, 422, 442, 342, 321, 313, 267, 273, 246, 213, 256, 255, 272, 313, 317]","[312, 529, 629, 405, 422, 297, 310, 323, 207, 209, 208, 162, 160, 154, 143, 152, 163, 168, 199, 213]","[175, 293, 390, 230, 231, 160, 169, 178, 107, 107, 114, 86, 71, 78, 78, 77, 74, 80, 105, 110]","[29, 78, 139, 76, 56, 36, 22, 41, 12, 13, 18, 8, 3, 7, 15, 7, 10, 5, 5, 13]","[4, 16, 28, 18, 12, 8, 3, 10, 5, 4, 7, 1, 0, 2, 3, 0, 2, 1, 0, 4]",2408
non_saturating-n_epochs-200-epoch_step-10-lr-0.005-model_width-1-g_alpha-1-ls_gan-d_alpha-1,1,100000,25000,100,64,False,200,10,0.005,1,0.9,False,1.0,1.0,True,True,"[0.49728, 0.0, 0.0, 0.0, 0.0, 0.49998, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.49984, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[1444.49502295078, 2033.1122354042259, 2185.6343446418336, 2156.428114448141, 1823.3226163439963, 1946.3586467707976, 2493.949610870112, 2228.6939338021066, 2014.4689330366425, 1728.9723945771239, 1919.0608826990915, 2137.1947519590913, 2301.4065154822692, 2169.633537703359, 2248.3136288279024, 2178.203775254183, 2168.4591652606077, 1531.2366838595085, 1967.2093183909826, 1706.675790493798]","[26, 3, 1, 5, 2, 3, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2]","[19, 2, 1, 4, 1, 3, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2]","[5, 0, 1, 0, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0]","[3, 0, 1, 0, 1, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2411
non_saturating-n_epochs-200-epoch_step-10-lr-0.0005-model_width-1-g_alpha-1-ls_gan-d_alpha-1,2,100000,25000,100,64,False,200,10,0.0005,1,0.9,False,1.0,1.0,True,True,"[0.4464, 0.50252, 0.50002, 0.49898, 0.49974, 0.49934, 0.49918, 0.49994, 0.49902, 0.3624, 0.49996, 0.49998, 0.4995, 0.4997, 0.49954, 0.4996, 0.4994, 0.4999, 0.49972, 0.4994]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[621.4058627666982, 432.2807307668286, 393.48490780593534, 251.34584914990717, 310.08006593250343, 242.15844188085612, 280.7637664661122, 292.498669250715, 261.89630553736276, 338.3245976260981, 342.2580977129654, 225.95062646037582, 343.0762673767042, 241.5422949815969, 231.45411881735743, 254.9892431211665, 250.80640340032494, 216.74022869882538, 232.67588611617623, 274.8188060679786]","[939, 950, 805, 885, 829, 772, 747, 620, 645, 744, 754, 786, 710, 706, 747, 791, 765, 759, 716, 733]","[790, 800, 620, 721, 646, 599, 575, 460, 436, 554, 567, 587, 514, 529, 546, 599, 573, 583, 511, 556]","[824, 857, 690, 791, 733, 661, 629, 496, 503, 593, 627, 648, 572, 594, 600, 639, 632, 666, 589, 629]","[591, 631, 484, 609, 528, 472, 449, 339, 315, 401, 447, 436, 384, 425, 406, 420, 455, 477, 428, 445]","[453, 511, 376, 520, 423, 374, 346, 251, 233, 281, 328, 291, 253, 321, 274, 280, 323, 376, 307, 336]","[226, 264, 205, 297, 226, 199, 187, 137, 133, 144, 171, 158, 143, 170, 151, 140, 170, 217, 184, 182]","[43, 48, 63, 89, 61, 44, 43, 22, 25, 21, 49, 25, 29, 42, 17, 16, 24, 52, 31, 36]","[12, 10, 11, 26, 10, 11, 10, 5, 15, 4, 13, 9, 3, 13, 6, 3, 8, 13, 12, 7]",2414
non_saturating-n_epochs-200-epoch_step-10-lr-0.01-model_width-1-g_alpha-1-ls_gan-d_alpha-1,1,100000,25000,100,64,False,200,10,0.01,1,0.9,False,1.0,1.0,True,True,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[1698.8867467290406, 1944.0099594629712, 1967.080648596522, 1854.0668762552716, 2014.4988497200038, 1907.6072158765212, 1685.0315502554463, 1955.360099035444, 1663.9457361448935, 1608.810721643952, 1265.6758208489243, 1362.7611317016976, 1975.8952357817093, 1744.1462910862797, 1518.3311724076077, 1599.1084962876848, 1663.9408876708233, 1552.3300076154014, 1757.4434632921882, 1657.738250018344]","[14, 2, 1, 4, 2, 4, 1, 1, 3, 3, 2, 3, 3, 2, 3, 2, 3, 4, 8, 2]","[11, 1, 1, 4, 2, 3, 1, 1, 2, 3, 2, 3, 3, 2, 3, 2, 3, 4, 8, 2]","[0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 3, 0, 5, 2]","[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2415
non_saturating-n_epochs-200-epoch_step-10-lr-0.01-model_width-1-g_alpha-1-ls_gan-d_alpha-0.7,1,100000,25000,100,64,False,200,10,0.01,1,0.9,False,0.7,1.0,True,True,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[1698.8867467290406, 1944.0099594629712, 1967.080648596522, 1854.0668762552716, 2014.4988497200038, 1907.6072158765212, 1685.0315502554463, 1955.360099035444, 1663.9457361448935, 1608.810721643952, 1265.6758208489243, 1362.7611317016976, 1975.8952357817093, 1744.1462910862797, 1518.3311724076077, 1599.1084962876848, 1663.9408876708233, 1552.3300076154014, 1757.4434632921882, 1657.738250018344]","[14, 2, 1, 4, 2, 4, 1, 1, 3, 3, 2, 3, 3, 2, 3, 2, 3, 4, 8, 2]","[11, 1, 1, 4, 2, 3, 1, 1, 2, 3, 2, 3, 3, 2, 3, 2, 3, 4, 8, 2]","[0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 3, 0, 5, 2]","[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2418
non_saturating-n_epochs-200-epoch_step-10-lr-0.005-model_width-1-g_alpha-1-ls_gan-d_alpha-0.9,1,100000,25000,100,64,False,200,10,0.005,1,0.9,False,0.9,1.0,True,True,"[0.49728, 0.0, 0.0, 0.0, 0.0, 0.49998, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.49984, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[1444.49502295078, 2033.1122354042259, 2185.6343446418336, 2156.428114448141, 1823.3226163439963, 1946.3586467707976, 2493.949610870112, 2228.6939338021066, 2014.4689330366425, 1728.9723945771239, 1919.0608826990915, 2137.1947519590913, 2301.4065154822692, 2169.633537703359, 2248.3136288279024, 2178.203775254183, 2168.4591652606077, 1531.2366838595085, 1967.2093183909826, 1706.675790493798]","[26, 3, 1, 5, 2, 3, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2]","[19, 2, 1, 4, 1, 3, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2]","[5, 0, 1, 0, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0]","[3, 0, 1, 0, 1, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2421
non_saturating-n_epochs-200-epoch_step-10-lr-0.0005-model_width-1-g_alpha-1-ls_gan-d_alpha-0.7,2,100000,25000,100,64,False,200,10,0.0005,1,0.9,False,0.7,1.0,True,True,"[0.4464, 0.50252, 0.50002, 0.49898, 0.49974, 0.49934, 0.49918, 0.49994, 0.49902, 0.3624, 0.49996, 0.49998, 0.4995, 0.4997, 0.49954, 0.4996, 0.4994, 0.4999, 0.49972, 0.4994]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[621.4058627666982, 432.2807307668286, 393.48490780593534, 251.34584914990717, 310.08006593250343, 242.15844188085612, 280.7637664661122, 292.498669250715, 261.89630553736276, 338.3245976260981, 342.2580977129654, 225.95062646037582, 343.0762673767042, 241.5422949815969, 231.45411881735743, 254.9892431211665, 250.80640340032494, 216.74022869882538, 232.67588611617623, 274.8188060679786]","[939, 950, 805, 885, 829, 772, 747, 620, 645, 744, 754, 786, 710, 706, 747, 791, 765, 759, 716, 733]","[790, 800, 620, 721, 646, 599, 575, 460, 436, 554, 567, 587, 514, 529, 546, 599, 573, 583, 511, 556]","[824, 857, 690, 791, 733, 661, 629, 496, 503, 593, 627, 648, 572, 594, 600, 639, 632, 666, 589, 629]","[591, 631, 484, 609, 528, 472, 449, 339, 315, 401, 447, 436, 384, 425, 406, 420, 455, 477, 428, 445]","[453, 511, 376, 520, 423, 374, 346, 251, 233, 281, 328, 291, 253, 321, 274, 280, 323, 376, 307, 336]","[226, 264, 205, 297, 226, 199, 187, 137, 133, 144, 171, 158, 143, 170, 151, 140, 170, 217, 184, 182]","[43, 48, 63, 89, 61, 44, 43, 22, 25, 21, 49, 25, 29, 42, 17, 16, 24, 52, 31, 36]","[12, 10, 11, 26, 10, 11, 10, 5, 15, 4, 13, 9, 3, 13, 6, 3, 8, 13, 12, 7]",2422
