Setting,Seed,0.0-1,0.0-3,0.0-5,0.0-10,0.1-1,0.1-3,0.1-5,0.1-10,0.2-1,0.2-3,0.2-5,0.2-10,0.3-1,0.3-3,0.3-5,0.3-10,0.4-1,0.4-3,0.4-5,0.4-10,0.5-1,0.5-3,0.5-5,0.5-10,0.6-1,0.6-3,0.6-5,0.6-10,0.7-1,0.7-3,0.7-5,0.7-10,0.8-1,0.8-3,0.8-5,0.8-10,0.9-1,0.9-3,0.9-5,0.9-10
-non_saturating-n_epochs-50-d_alpha-1,1,751,571,473,330,728,540,442,310,633,446,344,242,520,331,252,166,423,231,178,121,312,177,130,82,234,118,87,45,169,76,54,23,98,38,21,10,35,7,4,0
-non_saturating-n_epochs-50-d_alpha-0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.95,1,692,507,429,314,635,470,394,287,558,387,313,223,468,299,231,160,366,221,169,110,294,162,121,72,223,119,78,47,160,73,41,26,103,33,23,13,37,12,8,4
-non_saturating-n_epochs-50-d_alpha-0.9,1,761,569,480,374,740,541,454,355,645,452,383,287,546,372,311,220,466,303,229,161,377,228,172,109,298,163,112,59,225,100,62,27,136,48,29,13,61,12,4,1
-non_saturating-n_epochs-50-d_alpha-0.85,2,740,571,474,369,721,544,461,351,654,470,394,292,559,390,314,222,487,314,242,159,402,227,177,119,317,176,132,81,233,125,89,49,165,76,44,24,82,23,14,4
-non_saturating-n_epochs-50-d_alpha-0.9,2,10,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.95,2,715,519,421,314,695,500,406,305,598,423,342,256,515,349,282,205,433,268,222,147,353,219,156,107,277,158,120,80,211,114,81,55,133,75,53,28,75,24,21,8
-non_saturating-n_epochs-50-d_alpha-1,2,903,708,588,417,880,690,563,401,813,588,472,338,733,483,385,257,635,387,294,193,541,302,227,132,432,223,157,88,331,158,100,53,217,83,48,18,99,21,12,3
-non_saturating-n_epochs-50-d_alpha-0.9,3,610,442,361,260,583,422,347,246,503,342,277,189,416,262,197,143,316,192,151,98,251,135,101,69,188,94,69,44,132,59,45,27,75,38,25,13,29,8,3,2
-non_saturating-n_epochs-50-d_alpha-0.95,3,30,24,19,16,17,14,13,12,11,7,5,5,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.85,3,712,521,404,287,686,489,384,269,604,392,306,207,489,296,232,152,381,214,166,100,291,152,115,71,200,102,75,48,130,64,49,34,81,47,28,19,37,14,10,3
-non_saturating-n_epochs-50-d_alpha-1,4,747,530,441,315,708,492,410,284,615,403,321,215,499,308,242,154,392,220,160,107,295,162,114,85,207,109,87,56,160,75,59,45,95,51,38,14,46,12,6,3
-non_saturating-n_epochs-50-d_alpha-0.9,5,772,572,476,331,743,546,450,314,658,464,365,252,573,361,277,193,470,277,206,136,377,200,147,94,301,143,102,62,221,97,63,38,136,53,36,18,62,18,9,4
-non_saturating-n_epochs-50-d_alpha-0.85,5,683,491,407,289,633,453,377,266,537,361,294,199,432,277,216,138,321,199,140,98,232,136,100,70,176,99,74,48,123,65,48,25,72,32,23,16,26,12,7,2
-non_saturating-n_epochs-50-d_alpha-1,3,724,539,451,334,701,517,428,318,627,443,350,272,533,357,286,211,443,281,230,152,351,217,161,106,276,161,113,63,213,104,70,48,133,62,48,17,66,27,14,4
-non_saturating-n_epochs-50-d_alpha-0.9,4,2,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.85,4,748,564,476,361,709,530,446,333,614,437,347,257,502,327,257,180,402,231,179,129,296,169,129,88,238,122,85,43,160,77,48,19,98,30,16,6,22,5,2,1
-non_saturating-n_epochs-50-d_alpha-0.95,5,822,649,548,397,807,635,521,383,750,544,449,330,657,448,360,255,552,363,282,194,475,285,223,138,393,214,161,99,314,150,105,54,213,98,56,25,108,31,15,6
-non_saturating-n_epochs-50-d_alpha-0.95,4,712,493,385,265,673,457,354,242,563,357,276,186,455,256,194,146,342,188,146,102,259,142,104,71,192,96,73,48,134,68,45,27,77,33,23,15,32,14,10,1
-non_saturating-n_epochs-50-d_alpha-0.85,6,907,745,623,455,890,711,603,432,811,617,507,356,716,507,407,278,617,407,318,208,520,328,243,142,413,224,161,82,304,153,89,43,198,70,36,7,83,17,8,1
-non_saturating-n_epochs-50-d_alpha-1,5,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.9,6,773,576,471,352,743,534,446,327,636,435,353,244,506,331,261,161,407,236,172,116,317,170,126,82,238,114,87,55,164,78,55,36,102,48,32,18,43,18,8,6
-non_saturating-n_epochs-50-d_alpha-1,6,840,666,566,420,803,636,534,388,730,530,426,288,624,411,313,219,517,304,230,139,417,210,150,90,305,142,99,55,204,89,58,26,121,45,24,15,43,13,3,2
-non_saturating-n_epochs-50-d_alpha-0.9,7,700,501,394,286,664,469,362,272,575,365,310,233,472,300,238,184,382,232,193,143,309,187,151,108,245,152,119,73,182,109,75,44,128,59,40,22,57,23,10,2
-non_saturating-n_epochs-50-d_alpha-0.85,7,735,509,412,299,704,479,389,286,578,389,304,227,457,300,239,180,361,226,183,139,284,172,144,104,215,131,102,64,160,89,59,30,110,43,28,14,41,13,9,5
-non_saturating-n_epochs-50-d_alpha-0.95,6,37,28,25,22,14,12,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.9,8,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1,7,14,13,10,9,9,7,7,6,5,4,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1,8,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.95,7,809,624,516,381,784,581,488,370,694,483,401,302,582,394,324,218,480,300,227,155,391,218,167,97,301,155,102,52,221,83,55,23,120,41,20,7,41,3,2,0
-non_saturating-n_epochs-50-d_alpha-0.85,8,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.9,9,793,612,508,383,772,589,492,369,709,505,420,310,600,430,338,227,510,319,253,171,427,237,179,120,334,176,129,72,249,120,77,36,159,58,28,12,65,11,6,3
-non_saturating-n_epochs-50-d_alpha-0.95,8,11,10,9,8,5,4,4,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.85,9,735,556,490,366,703,529,453,342,604,446,363,256,502,340,273,184,405,255,189,121,324,178,125,73,239,116,76,39,164,62,43,19,80,27,19,8,25,6,2,0
-non_saturating-n_epochs-50-d_alpha-1,9,730,505,396,298,683,471,377,271,574,372,293,210,437,271,211,143,347,203,151,92,262,142,96,61,184,83,60,36,125,52,30,19,63,26,16,8,27,6,3,1
-non_saturating-n_epochs-50-d_alpha-0.95,9,636,441,346,252,596,422,322,242,507,335,264,206,416,263,210,144,316,200,142,95,258,139,93,53,186,83,58,38,117,47,36,24,67,28,18,16,27,11,6,5
-non_saturating-n_epochs-50-d_alpha-0.85,10,617,461,395,278,592,437,365,261,509,359,298,209,421,279,217,161,346,214,161,119,268,156,130,87,194,119,94,62,139,76,57,38,98,46,30,19,43,16,8,4
-non_saturating-n_epochs-50-d_alpha-0.95,10,680,489,414,312,657,467,388,299,551,396,334,234,465,316,248,162,368,223,174,122,298,166,126,82,227,121,86,57,156,85,57,33,104,44,25,11,34,7,3,1
-non_saturating-n_epochs-50-d_alpha-0.85,11,662,469,384,267,637,441,362,247,553,365,279,207,461,273,223,169,351,219,171,120,274,170,123,86,222,124,89,62,162,77,62,37,107,48,31,20,47,21,13,6
-non_saturating-n_epochs-50-d_alpha-0.9,10,756,570,476,360,726,543,453,342,653,463,377,273,549,375,300,209,436,286,213,155,348,219,168,102,281,161,112,66,208,100,67,28,142,47,26,11,51,12,3,1
-non_saturating-n_epochs-50-d_alpha-1,11,670,454,361,248,617,411,325,230,508,329,249,171,388,231,173,115,290,161,123,85,206,108,84,53,137,71,53,38,88,48,35,23,56,25,17,7,24,8,4,0
-non_saturating-n_epochs-50-d_alpha-1,10,698,538,457,342,645,487,403,310,511,370,295,203,397,252,190,127,284,159,118,77,195,100,70,45,115,56,36,18,73,28,17,3,34,3,1,1,2,1,0,0
-non_saturating-n_epochs-50-d_alpha-0.9,11,560,374,295,211,542,360,285,205,464,299,248,179,384,237,192,147,305,195,160,118,250,150,121,84,194,113,90,63,150,86,61,40,99,48,38,24,52,22,13,7
-non_saturating-n_epochs-50-d_alpha-0.95,11,805,583,480,340,779,557,453,321,674,461,363,261,549,354,271,191,439,255,196,122,345,186,129,81,260,120,86,45,168,81,49,28,105,39,24,12,37,11,5,2
-non_saturating-n_epochs-50-d_alpha-1,12,842,666,556,405,815,634,526,373,731,530,425,297,623,409,335,215,512,305,234,151,406,217,168,98,311,155,105,58,229,91,61,28,135,42,28,10,54,12,5,3
-non_saturating-n_epochs-50-d_alpha-0.95,12,801,602,492,356,775,562,469,337,684,477,383,273,594,383,288,199,481,275,215,149,366,206,156,98,278,142,109,64,200,93,71,32,136,52,31,17,65,13,9,5
-non_saturating-n_epochs-50-d_alpha-0.85,13,881,698,598,432,851,652,551,399,744,548,439,320,650,423,339,220,536,316,237,143,410,224,165,90,322,158,108,53,248,95,61,29,150,50,27,10,57,12,6,3
-non_saturating-n_epochs-50-d_alpha-0.85,12,569,411,339,253,546,381,318,232,465,308,253,187,361,227,185,137,285,168,128,90,212,127,101,66,161,91,69,48,120,68,48,24,79,35,22,12,27,10,4,1
-non_saturating-n_epochs-50-d_alpha-0.9,12,741,578,490,359,710,554,463,338,631,450,384,266,539,351,280,192,438,257,197,112,327,179,124,75,244,113,76,46,166,66,43,21,96,28,17,6,30,5,2,2
-non_saturating-n_epochs-50-d_alpha-0.95,13,22,18,16,14,8,7,7,7,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.9,13,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.85,14,818,627,531,384,789,598,493,356,708,502,405,310,611,406,319,223,527,312,243,158,421,236,174,111,327,166,113,72,243,111,76,40,161,60,39,17,61,21,10,2
-non_saturating-n_epochs-50-d_alpha-1,13,494,333,270,202,473,310,257,183,391,249,192,142,305,178,144,90,231,126,97,64,162,87,62,45,105,64,46,35,80,45,29,20,51,24,18,11,17,7,4,2
