Setting,Seed,0.0-1,0.0-3,0.0-5,0.0-10,0.1-1,0.1-3,0.1-5,0.1-10,0.2-1,0.2-3,0.2-5,0.2-10,0.3-1,0.3-3,0.3-5,0.3-10,0.4-1,0.4-3,0.4-5,0.4-10,0.5-1,0.5-3,0.5-5,0.5-10,0.6-1,0.6-3,0.6-5,0.6-10,0.7-1,0.7-3,0.7-5,0.7-10,0.8-1,0.8-3,0.8-5,0.8-10,0.9-1,0.9-3,0.9-5,0.9-10
-non_saturating-n_epochs-50-d_alpha-1,1,751,571,473,330,728,540,442,310,633,446,344,242,520,331,252,166,423,231,178,121,312,177,130,82,234,118,87,45,169,76,54,23,98,38,21,10,35,7,4,0
-non_saturating-n_epochs-50-d_alpha-1,3,809,628,529,406,783,597,506,384,702,517,425,312,606,417,331,223,504,315,239,156,404,225,168,95,315,152,105,54,214,97,55,27,134,39,23,8,47,10,2,0
-non_saturating-n_epochs-50-d_alpha-2,1,726,539,468,374,696,513,452,346,618,446,372,281,523,356,292,205,435,271,210,142,341,204,155,89,266,142,95,50,186,86,48,25,122,41,20,10,38,13,8,3
-non_saturating-n_epochs-50-d_alpha-1.2,1,747,552,458,335,714,529,426,319,618,421,343,250,507,328,264,186,407,245,194,133,310,177,138,78,242,124,78,45,168,64,44,22,94,39,17,8,28,4,3,0
-non_saturating-n_epochs-50-d_alpha-1.5,1,781,590,504,367,753,576,471,342,667,471,384,264,566,365,292,189,464,280,211,138,373,204,146,90,273,142,95,55,184,91,52,20,110,36,15,7,42,5,1,0
-non_saturating-n_epochs-50-d_alpha-3,2,458,295,230,155,360,223,168,124,240,132,109,75,146,78,62,38,90,46,32,22,56,26,19,10,32,13,8,5,15,6,3,3,6,2,1,1,1,0,0,0
-non_saturating-n_epochs-50-d_alpha-1,2,903,708,588,417,880,690,563,401,813,588,472,338,733,483,385,257,635,387,294,193,541,302,227,132,432,223,157,88,331,158,100,53,217,83,48,18,99,21,12,3
-non_saturating-n_epochs-50-d_alpha-3,1,753,542,435,306,715,494,402,274,603,391,304,212,479,283,222,147,378,212,156,103,301,146,101,60,218,94,68,34,150,56,36,21,79,30,19,11,26,7,5,0
-non_saturating-n_epochs-50-d_alpha-2,2,708,520,432,312,656,487,404,286,567,383,307,218,455,288,223,161,347,211,167,109,270,160,120,77,206,105,77,44,157,69,46,25,97,34,21,7,32,3,1,0
-non_saturating-n_epochs-50-d_alpha-1.5,2,800,598,491,351,777,585,469,337,691,490,393,286,590,389,322,224,502,319,252,175,423,234,186,124,334,182,141,89,251,140,100,50,185,82,55,30,94,33,16,8
-non_saturating-n_epochs-50-d_alpha-1.2,2,807,634,535,390,774,599,508,364,697,513,418,289,610,400,319,213,501,297,231,153,395,233,172,100,317,164,116,60,226,100,71,35,153,63,32,18,68,17,9,3
-non_saturating-n_epochs-50-d_alpha-1.2,3,800,606,512,386,789,585,500,375,708,517,434,322,616,438,354,243,523,349,273,188,436,267,203,134,357,201,145,86,280,129,93,43,186,81,45,15,91,19,7,2
