Setting,Seed,FID Score,0.0-1,0.0-3,0.0-5,0.0-10,0.1-1,0.1-3,0.1-5,0.1-10,0.2-1,0.2-3,0.2-5,0.2-10,0.3-1,0.3-3,0.3-5,0.3-10,0.4-1,0.4-3,0.4-5,0.4-10,0.5-1,0.5-3,0.5-5,0.5-10,0.6-1,0.6-3,0.6-5,0.6-10,0.7-1,0.7-3,0.7-5,0.7-10,0.8-1,0.8-3,0.8-5,0.8-10,0.9-1,0.9-3,0.9-5,0.9-10,Epochs,Modes,FIDs
-non_saturating-n_epochs-200-epoch_step-10-lr-0.0001-model_width-1-g_alpha-1-d_alpha-0.9,1,2899.283172336978,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2396.8159805037913, 2783.1404811133316, 2829.917916750225, 2626.173217152, 2016.8833101752305, 2220.3693071665634, 2361.957729422562, 2283.8840870531935, 2258.970611142352, 2290.1597616350505, 3053.9233252818785, 2991.760556025496, 2046.238871546717, 2481.3397855743747, 2467.525791516683, 2688.9287852266043, 2745.4647116736246, 2627.728987135571, 2394.156976721527, 2899.283172336978]"
-non_saturating-n_epochs-200-epoch_step-10-lr-0.0001-model_width-1-g_alpha-1-d_alpha-0.8,1,2277.5180513437654,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1656.2297884938152, 2739.0764932477105, 2300.8399837391394, 1821.9439669810804, 3214.846202551701, 1994.6217723241737, 2619.9251580750783, 2240.4339602065857, 2462.9331391292667, 2837.747469018316, 2698.360831749951, 2201.498644602489, 2915.042268194071, 2418.9461846647205, 2261.775451692318, 2613.3021931866465, 2122.068262207545, 2465.895085333994, 2374.5582608477444, 2277.5180513437654]"
-non_saturating-n_epochs-200-epoch_step-10-lr-0.0001-model_width-1-g_alpha-1-d_alpha-0.7,1,1940.4201145968063,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2787.0085862996734, 3591.8096526423533, 1576.5813773091336, 2949.6902194585396, 2625.8621385648007, 1732.3272177198705, 2732.545913577972, 2693.818532059341, 2866.8081901039905, 2737.2724408231534, 1972.420930026159, 2903.9724612852065, 2617.0621125325265, 2344.0750743755743, 1962.2064387142636, 2582.724701740131, 2962.8229119354223, 2592.4002796205955, 2073.9328524818707, 1940.4201145968063]"
-non_saturating-n_epochs-200-epoch_step-10-lr-0.0001-model_width-1-g_alpha-1-d_alpha-1,1,667.676276663822,171,136,123,100,147,111,96,86,93,73,63,54,68,45,41,32,36,20,18,16,21,12,12,9,10,7,6,5,5,5,2,2,2,1,0,0,0,0,0,0,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[1, 1, 1, 1, 203, 328, 580, 391, 251, 283, 181, 240, 200, 192, 234, 191, 124, 209, 163, 171]","[2403.4866242283206, 2265.6008042581357, 2146.3719782571006, 2684.018517329286, 774.6224126684929, 539.41398212626, 447.1428955413561, 487.021340713216, 531.0082013915174, 490.2270460044885, 550.2731662158362, 444.6268752197433, 486.48557009638057, 390.77755826566204, 404.2995048114029, 481.1222362646954, 503.5347685331394, 523.8157250256578, 476.4662357842533, 667.676276663822]"
-non_saturating-n_epochs-200-epoch_step-10-lr-0.0001-model_width-4-g_alpha-1-d_alpha-0.9,1,46.12109486066379,1000,1000,998,969,1000,1000,998,969,1000,1000,998,969,1000,1000,998,960,1000,999,998,947,1000,999,995,912,1000,998,987,843,1000,993,967,740,1000,977,920,568,992,923,798,322,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[990, 1000, 1000, 999, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[137.34351560704442, 80.42777134467735, 52.170500505408654, 46.78791460547666, 40.5735063131965, 37.155036744903214, 37.179105085274955, 32.13848784599031, 31.114337988417333, 30.58237923696049, 28.331919886362925, 31.644102646290207, 30.829054016619693, 34.98675212442106, 31.968509149787906, 34.201956425500725, 32.553790429197534, 37.679961556106036, 43.708799289622334, 46.12109486066379]"
-non_saturating-n_epochs-200-epoch_step-10-lr-0.0001-model_width-4-g_alpha-1-d_alpha-1,1,26.610293506296443,1000,999,999,977,1000,999,999,977,1000,999,999,976,1000,999,999,969,1000,999,999,952,999,999,997,923,999,998,992,858,999,996,977,788,999,987,941,644,994,954,832,401,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[991, 999, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[130.12732555806338, 72.80489665688515, 56.02152202388527, 40.75021712422233, 37.397632655295865, 33.124341353305795, 30.22580036387353, 28.619565860232115, 30.44125247821114, 25.959222545988382, 25.641152945233785, 27.539503004407266, 24.31948726817086, 26.540870584475897, 24.93137059171363, 26.044334193596796, 25.878052340471413, 26.646433655180658, 26.515882322728658, 26.610293506296443]"
-non_saturating-n_epochs-200-epoch_step-10-lr-0.0001-model_width-4-g_alpha-1-d_alpha-0.8,1,30.686889160398437,1000,1000,1000,984,1000,1000,1000,984,1000,1000,1000,983,1000,1000,1000,976,1000,1000,999,968,1000,999,996,935,1000,999,989,877,1000,996,980,796,1000,993,952,649,998,967,847,412,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[996, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[146.97134025499736, 81.7002185725164, 51.83987108522115, 47.46953773432733, 35.48004559317792, 33.316914123759716, 36.63544065237056, 30.2538022088371, 30.127128652992724, 28.716039828402586, 31.17068445207792, 32.3030534109497, 26.652795524320254, 28.99368948982419, 31.361044255651677, 32.01817680988961, 30.5551192523468, 34.13037550647459, 27.44984309866811, 30.686889160398437]"
-non_saturating-n_epochs-200-epoch_step-10-lr-0.0001-model_width-8-g_alpha-1-d_alpha-0.7,1,9.5495553507767,1000,1000,1000,994,1000,1000,1000,994,1000,1000,1000,994,1000,1000,1000,993,1000,1000,1000,992,1000,1000,1000,989,1000,1000,1000,975,1000,1000,999,943,1000,1000,994,869,1000,998,976,686,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[93.38916305236114, 44.976676892674504, 31.54357231977042, 21.828556661615607, 19.670701388130965, 13.896395669805884, 22.340776009993988, 12.285221735047571, 15.073866804371505, 12.768675061879094, 10.202099130800434, 13.927858718280504, 14.479692282648216, 11.827184165857602, 9.819879246040045, 12.367521167929112, 9.806160881262258, 9.913103683653503, 13.097511159162423, 9.5495553507767]"
-non_saturating-n_epochs-200-epoch_step-10-lr-0.0001-model_width-4-g_alpha-1-d_alpha-0.7,1,394.519740416798,58,45,43,40,54,44,43,40,45,39,36,32,37,30,27,25,28,24,21,18,16,15,14,13,14,14,12,9,8,6,5,5,2,1,1,1,0,0,0,0,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[134, 9, 6, 22, 10, 41, 28, 78, 59, 29, 40, 38, 46, 46, 26, 45, 44, 42, 91, 58]","[758.5824965005379, 793.7391880449051, 916.2344271502645, 923.2877914079522, 528.7670541612154, 638.7618299099142, 440.6061051595658, 420.54250061203834, 293.00256666244314, 351.2293023580554, 351.5986346843122, 409.9874196509245, 368.39431440803685, 391.60509904229014, 526.9475138660982, 330.7633731287922, 498.0990774889275, 370.7813740614605, 370.702293899256, 394.519740416798]"
-non_saturating-n_epochs-200-epoch_step-10-lr-0.0001-model_width-8-g_alpha-1-d_alpha-0.8,1,12.419697578479827,1000,1000,1000,997,1000,1000,1000,997,1000,1000,1000,997,1000,1000,1000,997,1000,1000,1000,992,1000,1000,999,983,1000,1000,999,964,1000,999,997,926,1000,999,991,859,1000,990,959,678,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","[79.9348198827837, 38.4527983137408, 21.4903765666686, 21.056626481044646, 14.139453045563982, 12.294288361213262, 12.671158601067077, 11.391304800197759, 10.843192046652803, 10.804955065029958, 9.548410440723956, 12.696334461684046, 12.932287632716225, 10.308572924363602, 10.984124587661313, 12.910462091347313, 10.590299382974422, 10.176567283567806, 9.01553042587318, 12.419697578479827]"
