Setting,Seed,0.0-1,0.0-3,0.0-5,0.0-10,0.1-1,0.1-3,0.1-5,0.1-10,0.2-1,0.2-3,0.2-5,0.2-10,0.3-1,0.3-3,0.3-5,0.3-10,0.4-1,0.4-3,0.4-5,0.4-10,0.5-1,0.5-3,0.5-5,0.5-10,0.6-1,0.6-3,0.6-5,0.6-10,0.7-1,0.7-3,0.7-5,0.7-10,0.8-1,0.8-3,0.8-5,0.8-10,0.9-1,0.9-3,0.9-5,0.9-10
-non_saturating-n_epochs-50-ls_gan,14,597,468,380,294,576,448,365,278,511,361,307,215,427,288,227,165,344,216,171,129,283,159,135,95,208,120,94,59,157,84,57,31,102,42,29,18,40,17,10,2
-non_saturating-n_epochs-50-ls_gan,16,774,611,532,421,749,580,501,387,664,496,423,310,581,398,308,212,479,292,223,133,380,205,140,78,285,124,76,34,192,63,35,15,107,29,13,1,28,3,0,0
-non_saturating-n_epochs-50-ls_gan,15,849,647,540,404,824,622,513,384,741,537,442,324,661,447,348,253,552,342,269,184,463,273,203,124,366,193,134,65,267,118,79,36,153,61,29,12,69,16,6,2
-non_saturating-n_epochs-50-ls_gan,5,792,605,519,393,775,589,502,373,698,517,417,320,613,424,345,239,517,333,258,175,424,249,190,119,338,189,125,81,253,121,79,40,174,64,36,13,75,12,5,2
-non_saturating-n_epochs-50-ls_gan,13,805,643,538,381,793,620,514,371,734,538,433,313,656,441,359,241,561,349,267,184,464,277,204,130,380,201,149,85,278,138,95,54,183,76,50,29,90,33,23,10
-non_saturating-n_epochs-50-ls_gan,8,748,566,488,370,726,546,466,354,635,463,384,288,546,375,295,202,444,283,213,152,348,208,157,97,270,152,102,58,189,88,55,30,109,41,23,13,34,11,6,4
-non_saturating-n_epochs-50-ls_gan,7,759,558,459,351,720,520,426,327,614,420,348,248,507,329,262,176,407,244,188,118,324,176,130,72,247,122,79,41,171,72,47,25,102,30,21,11,38,9,4,1
-non_saturating-n_epochs-50-ls_gan,1,684,513,435,325,657,496,418,310,581,414,332,244,492,319,260,169,410,245,185,113,312,162,120,76,235,109,74,40,148,67,39,19,77,28,17,7,28,6,2,0
-non_saturating-n_epochs-50-ls_gan,6,590,394,319,228,561,362,300,213,475,291,231,171,361,224,178,124,275,163,119,82,203,108,82,60,144,76,58,42,90,47,37,26,49,27,22,15,17,12,7,1
-non_saturating-n_epochs-50-ls_gan,3,726,569,468,344,701,552,454,336,660,486,387,281,576,396,326,229,498,322,257,172,419,253,192,124,340,190,144,81,259,128,89,56,175,70,54,32,94,38,23,14
