Setting,Seed,Modes,High-Quality Samples,Reverse KL
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,16,6,0.258,0.6017221391424199
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,15,7,0.202,0.8609612357353573
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,13,3,0.113,0.6935517144872801
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,14,11,0.2695,0.38246435771681275
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,6,8,0.2525,0.46368269457372197
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,18,8,0.3455,0.5499323945318004
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,8,5,0.2185,0.5962076405232584
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,7,13,0.345,0.3507346377428229
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,20,7,0.2875,0.7609661376969956
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,19,9,0.203,0.42222113392161964
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,11,4,0.1245,0.5068083997290025
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,17,8,0.229,0.5359166666520235
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,10,4,0.1105,0.9094567947867238
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,12,7,0.1975,0.5102409378096264
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,5,10,0.245,0.49583857561249145
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,9,10,0.3035,0.43883345354801323
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,1,3,0.1225,0.5784287484263773
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,3,13,0.2795,0.25029077540275135
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,4,5,0.061,0.4344610833979781
alpha-0.8_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,2,6,0.2405,0.478647896020401
alpha-0.9_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,2,4,0.191,0.8431531901753726
alpha-0.9_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,1,7,0.253,0.4001957732393326
alpha-0.9_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,4,11,0.26,0.3870624844155203
alpha-0.9_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,5,4,0.2045,0.6913795352116988
alpha-0.9_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,6,7,0.1785,0.6128547776280714
alpha-0.9_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,12,7,0.3095,0.6475824889755808
alpha-0.9_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,9,7,0.2665,0.6930141038021411
