setting,seed,train_test_split,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,time
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.6-g_alpha-1.1,5,0.8,100,64,False,150,10,0.0001,64,0.9,False,0.6,1.1,True,False,"[0.3648463757770441, 0.21708158591356594, 0.3783944558460486, 0.19162130811100206, 0.1432140626394218, 0.2542012432705749, 0.34838345081942834, 0.3198001249219238, 0.1940156449837899, 0.29796853157252906, 0.35913565926058116, 0.30855715178013743, 0.15707444751792035, 0.19834329734392195, 0.2591683769072901]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1574.4490483462514, 717.3794364649953, 592.1610640894869, 499.19575083490554, 436.69164262563027, 383.1373095283807, 373.94141425124917, 458.83969897261954, 370.21948611529274, 376.60808321757077, 374.15530481171936, 331.4499222828267, 310.8152885234133, 327.164542760735, 365.13044614427554]",7174
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.6-g_alpha-1.2,7,0.8,100,64,False,150,10,0.0001,64,0.9,False,0.6,1.2,True,False,"[0.12112965111091283, 0.15847238333184616, 0.19640998185657774, 0.184616757383778, 0.25814223253323815, 0.2808661253383302, 0.25390381011867585, 0.22987121144522768, 0.20787602986228845, 0.22363998691294132, 0.17245174147110437, 0.20293863954076322, 0.27302876178578867, 0.2554504625085512, 0.21443443086166383]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2705.6414330121293, 2707.3912438211564, 2709.367998664133, 2705.5896790069137, 2707.102009705491, 2707.015425734157, 2708.4207883233103, 2705.481686842417, 2706.7091606596755, 2708.659917775566, 2703.7959229612775, 2703.940611727616, 2707.7755780125935, 2706.187757920899, 2707.4015165829856]",7176
non_saturating-n_epochs-150-epoch_step-10-lr-0.0003-d_alpha-0.6-g_alpha-1.05,3,0.8,100,64,False,150,10,0.0003,64,0.9,False,0.6,1.05,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2708.980447648562, 2708.944286993045, 2708.672414581393, 2708.702228329812, 2709.2511258219815, 2709.296460351595, 2708.47891013822, 2708.9913981226396, 2708.79400201643, 2708.6835829194897, 2708.420233153312, 2709.040509558792, 2707.849165821792, 2709.266644156219, 2708.965959878276]",7190
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.6-g_alpha-1.2,3,0.8,100,64,False,150,10,0.0001,64,0.9,False,0.6,1.2,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2767.038714066221, 2766.9892362995997, 2766.2053881288293, 2767.4835957714663, 2767.2931692811026, 2765.290375277145, 2766.564698914977, 2766.9017247601532, 2766.2210513298714, 2766.8444854669824, 2766.844691622154, 2766.857683032648, 2764.9843158690333, 2768.0650626943716, 2766.6708950617667]",7192
non_saturating-n_epochs-150-epoch_step-10-lr-0.0005-d_alpha-0.6-g_alpha-1.1,2,0.8,100,64,False,150,10,0.0005,64,0.9,False,0.6,1.1,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2345.1155322730983, 2344.1416732693588, 2342.8702180133055, 2342.7764706376174, 2343.8667970621746, 2344.2048490063494, 2346.6864633684104, 2342.717890544098, 2344.260737151036, 2343.023563276143, 2340.955510299066, 2341.715057123075, 2341.993704082897, 2342.190777326287, 2346.0371589235497]",7191
non_saturating-n_epochs-150-epoch_step-10-lr-0.0005-d_alpha-0.6-g_alpha-1.05,5,0.8,100,64,False,150,10,0.0005,64,0.9,False,0.6,1.05,True,False,"[0.4429820647809405, 0.15329704648880163, 0.13802385413878232, 0.1959489604711341, 0.27560155854971596, 0.3248564885042087, 0.294979328395943, 0.17921834567680914, 0.31615656881115967, 0.2423039171946105, 0.24914487968829005, 0.49112162041581153, 0.4888016418309985, 0.48309092531453557, 0.4926980161208768]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1829.7038336535454, 1528.0013491744637, 1125.8190875621995, 906.4667172142097, 641.0320766572886, 618.4315989946599, 522.896200657123, 449.8825335084275, 469.0418148000358, 436.5562426048323, 410.1537625232618, 2013.9580290064587, 2018.089391680278, 2041.208308925653, 2012.2317399644337]",7190
non_saturating-n_epochs-150-epoch_step-10-lr-0.0003-d_alpha-0.6-g_alpha-1.05,4,0.8,100,64,False,150,10,0.0003,64,0.9,False,0.6,1.05,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.4999405133696202, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[3062.1204944865267, 3059.518431905165, 3064.67168209961, 3061.96034601955, 3061.7941982844973, 3062.7333553565936, 3061.978155031904, 3063.811966368697, 3062.6479944572134, 3061.297308704784, 3062.3761820301675, 3063.951042331923, 3061.5598194588065, 3063.4588142856774, 3061.425661934713]",7223
non_saturating-n_epochs-150-epoch_step-10-lr-0.0005-d_alpha-0.6-g_alpha-1.1,4,0.8,100,64,False,150,10,0.0005,64,0.9,False,0.6,1.1,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2202.2268202546693, 2204.715940994786, 2201.2380475072587, 2202.981534437211, 2202.6789526193784, 2202.6993821655738, 2202.199531014407, 2200.8501627571577, 2201.985045750477, 2202.7571347456314, 2201.8447428137133, 2201.8199796754334, 2203.5937654387626, 2201.6359722058874, 2204.563606684093]",7226
non_saturating-n_epochs-150-epoch_step-10-lr-0.0005-d_alpha-0.6-g_alpha-1.05,4,0.8,100,64,False,150,10,0.0005,64,0.9,False,0.6,1.05,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2369.8642659820034, 2373.4707070239933, 2368.1048612507434, 2370.649814255189, 2370.31686708486, 2370.4400763037597, 2370.022657993926, 2367.921829593365, 2369.2795273225165, 2370.464985481577, 2369.2627660534226, 2369.036576758493, 2371.7155336288733, 2368.8947085680943, 2372.567285234518]",7231
non_saturating-n_epochs-150-epoch_step-10-lr-0.0003-d_alpha-0.6-g_alpha-1.2,4,0.8,100,64,False,150,10,0.0003,64,0.9,False,0.6,1.2,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1973.6346056420043, 1972.866091845744, 1975.2331865984258, 1974.035537262654, 1974.019530714352, 1974.0665223516883, 1974.1036246326937, 1974.8754373214076, 1975.1346295005017, 1974.1440782117704, 1974.718053438287, 1974.6678460635892, 1973.8269803356752, 1974.6907550321835, 1972.836304104517]",7226
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.6-g_alpha-1.2,4,0.8,100,64,False,150,10,0.0001,64,0.9,False,0.6,1.2,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4871657594955533e-05, 0.0, 0.0, 1.4871657594955533e-05, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2935.1086162758606, 2932.2573759905226, 2937.6306706207833, 2933.300281316422, 2936.1909938885046, 2935.3442579257803, 2935.43452070426, 2937.4452375505016, 2936.305754188533, 2935.119578411257, 2936.7104137698734, 2935.4764593315967, 2934.1653018322877, 2937.0509562275884, 2931.788539280208]",7236
non_saturating-n_epochs-150-epoch_step-10-lr-0.0005-d_alpha-0.6-g_alpha-1.2,2,0.8,100,64,False,150,10,0.0005,64,0.9,False,0.6,1.2,True,False,"[0.4949882513905, 0.48616935843669135, 0.4867939680556795, 0.49305493590315574, 0.48420629963415723, 0.4864519199309955, 0.4642931501145118, 0.4862288450670712, 0.48857856696707413, 0.4884001070759347, 0.49567234763986795, 0.41587103298533656, 0.49196930489872404, 0.4692900270664168, 0.48970881294429075]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2496.2488711913174, 2496.8115652614465, 2497.3100632590535, 2497.214602573948, 2496.5085136864286, 2496.835940041353, 2495.8100008802758, 2496.4150705649563, 2496.4782387273854, 2496.800803654972, 2497.4832853629564, 2497.207904928579, 2497.4611434413114, 2497.3033007637673, 2496.037217518564]",7240
